ADM3_PCODE,primary_school_age_girl_NER_2020,secondary_school_age_girl_NER_2020
NE004003001,8232.364066225873,7275.827042056064
NE004003002,865.6818451339121,765.125437513052
NE004003003,4970.703954406815,4395.601092024411
NE004003004,5255.372524735507,4644.915691669316
NE004003005,4953.952736163605,4378.508427130942
NE004003006,7287.209222059627,6441.023486698377
NE004003007,2102.8408086617783,1858.5777166310481
NE004003008,13396.25961450969,11840.674996570038
NE004003009,3959.085080162686,3499.8962019406117
NE004003010,1786.4059698773374,1580.17935942762
NE004003011,3683.8086636085136,3257.2929867772486
NE004003012,3648.924412814309,3220.8469937151544
NE004004001,4392.868075318429,3958.2985371159566
NE004004002,15780.31643629074,15360.391969903307
NE004005001,14125.764007919906,12620.82297558504
NE004005002,13070.767863714931,11682.306917256003
NE004005003,10266.05493316089,9181.86810781722
NE004005004,10542.114723603863,9424.163095454607
NE004005005,25190.37059173585,22513.97482397745
NE004006001,13136.76021479906,11609.971869065716
NE004006002,5900.742451501359,5215.380527211173
NE004006003,7609.600177559199,6724.2756027357245
NE004006004,8327.562176086385,7358.712323101832
NE004006005,6402.173725101064,5657.821085148698
NE004006006,3339.756930915981,2955.554096463148
NE004007001,7632.186541837805,6797.240738962209
NE004007002,5638.242945039039,4986.291080130783
NE004007003,8113.653653468339,7169.690477763905
NE004008001,3738.600930154092,3315.002071624178
NE004008002,5972.704279864068,5293.832804469028
NE004008003,4788.229416271284,4245.48029971777
NE004008004,4182.943174354704,3718.060472781984
NE004008005,11186.72255183389,9931.562926455103
NE004008006,11685.30641819917,10361.314221714994
NE004008007,10934.858993401247,9695.933808022852
NE004008008,3339.9480729575253,2961.465805531484
NE004009001,1386.1859798001308,1299.8209500238008
NE004009002,4274.119848202724,4006.633820496352
NE004009003,1600.0762762256697,1503.2294590856511
NE004009004,9425.636049289336,8832.721774730495
NE004009005,6207.394728951362,5820.108951447057
NE004009006,10776.783669916314,10075.370790229123
NE004009007,19326.226963514437,18107.924199350204
NE005001001,17948.08353836071,15946.550055186883
NE005001002,7838.50601667096,6959.717604698857
NE005001003,7944.073190426594,7057.205712522246
NE005001004,5862.475210664788,5207.112581786923
NE005001005,1518.7919785432657,1379.629973365513
NE005002001,7730.431876273717,6994.901529649897
NE005003001,5851.114805210337,5399.809722313694
NE005003002,5790.950258224151,5343.687176319196
NE005003003,11232.992753649225,10364.161397058822
NE005003004,7291.440888999489,6721.325940265842
NE005004001,3653.887015613854,3201.1365490277603
NE005004002,6352.516170390921,5568.827511529832
NE005004003,10631.372158243139,9309.73858243157
NE005004004,3578.8366856481516,3136.243833217433
NE005004005,11541.01707977781,10106.36295311311
NE005004006,3368.025501261505,2949.756515413172
NE005004007,3976.7713392388587,3485.787539566263
NE005005001,7132.672434766619,6534.834612888449
NE005005002,17863.642985171442,16399.862834472282
NE005005003,7700.540451134886,7070.733157407537
NE005006001,5028.786714393951,4560.492296098257
NE005006002,12259.33275853605,11118.560502929313
NE005006003,7020.27405096876,6367.447305356751
NE005006004,8627.54103791667,7826.845176295675
NE005007001,2787.353381242939,2436.69013934042
NE005007002,17252.491660423842,15087.926385425115
NE005007003,5351.9046139838665,4682.175241500257
NE005007004,11739.133598291173,10262.294518815772
NE005007005,9548.155851778334,8349.937487114183
NE005007006,8286.313491794175,7247.655116574907
NE005008001,10158.090250259289,9324.265133225685
NE005008002,8608.554901491425,7912.904117661828
NE005009001,6733.943228645652,6050.542161628198
NE005009002,13502.553501812612,12133.044092518205
NE005009003,6917.8788545047555,6216.274193255107
NE005009004,13032.860265040857,11712.29075429299
NE005009005,3325.235175582358,2987.138199052507
NE005009006,6120.612905824304,5506.684239408782
NE005010001,1807.5677316296835,1972.3757326749858
NE005011001,9271.712454237886,8612.438623391647
NE005011002,10716.198168225645,9962.01656420196
NE005012001,5071.690239134393,3803.575316110793
NE005013001,4581.918157020269,4116.776812185962
NE005013002,7696.092366693533,6914.810229389342
NE006001001,7553.658451213552,7633.621304126466
NE006001002,6091.41183283247,6157.3386324268895
NE006002001,4260.180775078724,4207.706336007047
NE006002002,2499.9198105009177,2472.6061634242515
NE006003001,8432.262661150391,8330.182519257305
NE006004001,7305.978210847899,7447.939369651027
NE006005001,4348.26367855446,4073.031481077627
NE006006001,10201.549972652216,9990.862950653423
NE006006002,2943.710805576923,2882.008624984706
NE006006003,4730.369969327078,4631.943619030831
NE006006004,10703.45948486398,10479.997371774101
NE006007001,14530.128395687843,13566.467699243514
NE006007002,10259.808101107565,9582.97773992501
NE006008001,3985.3452502676078,4194.531823597236
NE006008002,3596.0039447517943,3761.8672402933535
NE006008003,5318.529367082493,5564.206425337701
NE006008004,5824.4339424771415,6095.170245466511
NE006008005,4071.5564062917897,4192.567795466442
NE006008006,2983.181106932023,3119.3348664045348
NE006008007,4325.238344817536,4529.070695268405
NE006008008,8575.541384718463,9080.971707183708
NE006008009,3510.6703574989356,3676.1157263582827
NE006008010,3823.076518751358,3994.0632529214326
NE006008011,4704.106513717129,4912.162259110751
NE006009001,4333.342858856563,4317.293286987616
NE006009002,5348.019952887416,5336.028184380717
NE006009003,6881.241008995557,6865.424168607766
NE006009004,12792.944657048887,12764.796509814792
NE006010001,2388.4272953017107,2134.06565628379
NE006010002,3984.2908310240414,3559.7993041671957
NE006010003,9673.512151757637,8624.981019347906
NE006011001,5865.292122244365,5860.7602043984
NE006011002,10639.006459827166,9952.958226667775
NE006011003,11511.196842170237,11519.25295499586
NE006011004,2695.0701443214034,2696.836852372862
NE006011005,10841.420170964448,10852.893338446533
NE006012001,3124.231809139954,3084.314254696228
NE006012002,398.64403983284444,392.88088392323147
NE006012003,2507.13564849601,2470.8437943696977
NE006012004,6103.243954249456,6009.781951023554
NE006012005,2738.4480885716052,2698.959986761503
NE006012006,1563.9898648159174,1540.7516109980786
NE006012007,3369.677587372883,3322.541314548604
NE006013001,1917.7686210354166,1888.6418509721757
NE006013002,15795.1227891569,15551.220684197613
NE007001001,9629.70669743302,8376.434778022473
NE007002001,3128.0724582690814,2933.634784630233
NE007002002,16383.513783213446,15367.470657583086
NE007002003,5836.451849894432,5448.259808746977
NE007002004,739.7227222526772,690.8953136836781
NE007002005,7517.982569146624,7050.933744193997
NE007002006,2528.3799543268537,2305.02354890038
NE007003001,4438.738262225133,4103.683781334932
NE007003002,11964.099758348282,11062.249556986493
NE007003003,8253.164212691545,7630.835418880688
NE007003004,5138.297754436382,4751.692601023003
NE007004001,1675.1682183629746,1531.853957852195
NE007004002,9060.213704627635,8261.512785798079
NE007004003,1223.6248832599788,1123.358773787816
NE007004004,9493.023077888814,8654.623697997074
NE007004005,6322.812781842081,5767.056109115892
NE007004006,6411.9885038603825,5845.181984441487
NE007005001,6069.839012957555,5565.203015499489
NE007005002,2918.531141456903,2675.4705012040995
NE007005003,2998.4323311843127,2749.318041358274
NE007005004,4606.961004002889,4223.32529260972
NE007005005,8289.897051794385,7598.678512290878
NE007005006,3140.4073059269017,2878.5525493472237
NE007005007,7607.805128497704,6973.482919939824
NE007005008,4473.861726065242,4103.912370386311
NE007005009,4336.093360964456,3973.658679778903
NE007006001,14903.950030617627,13581.006016332962
NE007006002,6866.915135374255,6255.673316665724
NE007006003,5468.170198575189,4981.282072553449
NE007006004,20730.315252539694,18883.821591134158
NE007006005,12406.124982054092,11304.236692264032
NE007006006,14003.598383335964,12951.380117109707
NE007006007,6505.19012670517,5925.760667368942
NE007007001,12467.329735374458,11635.893372435663
NE007007002,7165.306350201251,6686.206956686695
NE007007003,6604.1008556216375,6164.464813838287
NE007007004,7465.810459380057,6968.62443146893
NE007007005,4212.433396897595,3931.71580191313
NE007007006,2015.294281533186,1881.2989448248181
NE007007007,6919.475422086904,6459.334354524051
NE007007008,2949.8864221292374,2753.7507986237038
NE007008001,4857.960531857432,4426.83016618607
NE007008002,6641.933085581836,6066.058618498785
NE007008003,10380.780228128146,9445.942255907903
NE007009001,335.52713318011337,296.0842997083476
NE007009002,13000.214812913131,11445.863266677952
NE007009003,12311.81638648229,10841.634214235299
NE007009004,17688.164946040582,15578.085353986542
NE007009005,4442.733388529141,3912.183513054932
NE007010001,3918.989096753121,3451.611651671455
NE007011001,4184.267779226864,3850.983844366261
NE007011002,14196.413860193887,13250.895008427487
NE007011003,14871.40951532476,13880.45367054098
NE007011004,4963.398999397426,4631.476679506489
NE007011005,3462.26078717288,3232.0578043040114
NE008001001,20287.564154871772,22886.88133107541
NE008001002,8284.11168018042,9376.245083083359
NE008001003,9118.073572757197,10358.835458417967
NE008001004,23579.138348863635,26571.186885063322
NE008001005,19728.589787558965,22261.29107614966
