ADM3_PCODE,population_NER_2020
NE007006002,7874900.363448549
NE007006003,6166667.224746106
NE007006004,2.364414817753537E7
NE007006005,1.4124089737372044E7
NE007006006,1.5828496895851031E7
NE007006007,7131374.403494225
NE007007001,1.3972753110225772E7
NE007007002,8083098.195163955
NE007007003,7302543.497613428
NE007007004,8339952.87220868
NE007007005,4736996.591302367
NE007007006,2169964.4455683357
NE007007007,7876648.39492523
NE007007008,3383136.6448915843
NE007008001,5564533.537034365
NE007008002,7829959.308111437
NE007008003,1.2162070063280024E7
NE007009001,379656.6821438729
NE007009002,1.4035880832593763E7
NE007009003,1.3347614451185796E7
NE007009004,1.8973609395599548E7
NE007009005,4788457.334610646
NE007010001,4338462.656747724
NE007011001,5749817.91368871
NE007011002,1.6786111558541693E7
NE007011003,1.5828667541477092E7
NE007011004,5678394.76139957
NE007011005,3872439.024499242
NE008001001,2.80961248902571E7
NE008001002,1.1466104533447843E7
NE008001003,1.1799569831757287E7
NE008001004,3.1782321409533642E7
NE008001005,2.5988235406117328E7
