ADM3_PCODE,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
NE003003003,0.0,242.0,94.32373025787595,89.0,47.665888556235174,0.0,235.10614013671875,75.43315380841342,67.52006074176332,51.50604067993516,45,505,220.91222019008134,194.47176451767717,108.02051016811433
NE003003004,0.0,182.0,65.82746047912903,60.0,39.42663604947187,0.0,149.80023193359375,38.359521779896326,24.616891084046202,35.42596149018009,8,207,89.71850526802292,92.0,47.65563319272969
NE003003005,0.0,238.0,90.62847230882046,80.0,54.629907647705416,0.0,231.8105010986328,59.78677521620062,43.57727285531851,52.297927525903496,0,419,124.90321430174727,94.31686978832585,94.6442248110028
NE003003006,0.0,242.0,99.13130756095516,93.00000000000001,52.60353935529423,0.0,235.10614013671875,90.5038098778383,83.65971070817373,56.098780663721804,65,501,269.86433390252796,260.5396753832281,107.66714648408441
NE003004001,0.0,105.0,42.93371486432797,41.99999999999999,20.791999410979525,0.0,97.09381103515625,19.306764840515534,14.822822183912796,18.006959469653747,0,148,30.096694394955087,20.999999999999996,30.001535433958402
NE003004002,0.0,251.0,76.61640468841362,70.0,45.5121303281323,0.0,185.83583068847656,41.82361869617004,29.53383405780051,37.91693334167206,8,316,97.2005935303156,84.49862367282736,59.89098140139044
NE003004003,0.0,127.0,60.94420372352775,60.0,26.97172815001532,0.0,101.87592315673828,41.572770911876844,41.160772959391274,25.399248684656122,10,187,89.08824545603866,86.99999999999999,40.89584525223628
NE003004004,0.0,251.0,91.11345459901312,85.99999999999999,49.668920366112,0.0,211.50453186035156,65.6128371215465,55.48330705557295,48.97088199084453,9,334,139.04866632299866,124.46153846153847,78.5770970740698
NE003004005,0.0,143.0,51.785576258012995,51.00000000000001,25.96917424903721,0.0,91.06122589111328,23.647180330920694,17.189193190902007,18.50872066405594,9,181,84.30416212092035,83.00000000000001,38.580352506201834
NE003004006,0.0,168.0,70.355494796168,70.0,32.032787901114105,0.0,92.40522766113281,21.61699692144747,15.731916594998886,19.13713767101175,17,223,88.36820712665718,80.0,45.157097163677946
NE003004007,0.0,170.0,65.23582234772555,60.0,34.42956744202331,0.0,143.46304321289062,40.08969360825705,30.42675279413141,33.73357458644755,8,275,122.77516935637254,114.29999999999998,63.736541656182894
NE003004008,0.0,220.0,75.12800008544974,68.0,43.98090483220718,0.0,183.06442260742188,49.11197044877051,38.4998464513708,41.38849462285194,37,350,164.12859111251944,152.6967213114754,75.80327480739587
NE003004009,0.0,143.0,65.92001528498452,66.0,29.02137957866573,0.0,114.09391021728516,40.66000695822395,35.09480285644531,26.403162912657905,19,273,133.81887963745098,124.0,56.135614504897205
NE003004010,0.0,138.0,57.88279957088323,54.0,29.455795602844493,0.0,111.23578643798828,31.0566936015123,22.321788787841797,25.492441788218432,61,257,158.64962119637076,162.0,45.505190065102845
NE003004011,0.0,174.0,68.18158051406823,65.0,35.7728546039939,0.0,153.61474609375,36.4245376020423,27.34954365407388,33.6953110485657,41,216,114.23098128542945,111.00000000000001,38.13295835001393
NE003005001,0.0,309.0,110.310028833062,94.39511041009465,68.19158129057222,0.0,235.0023193359375,70.23712826167518,59.68771336488392,52.74928726793771,69,426,215.39356462076512,198.43181818181816,96.01013746789852
NE003005002,0.0,154.0,62.17360387301651,60.00000000000001,31.272874900823073,0.0,154.29393005371094,49.398459231649504,44.42969776131698,32.381032722051415,78,290,169.764238887969,169.0,51.94825679748571
NE003006001,0.0,117.0,45.038280189721974,43.0,23.2365391338655,0.0,112.5789566040039,28.741269017991147,22.262174606323242,24.556544922905903,9,158,63.87448407090792,57.0,36.18109130230375
NE003006002,0.0,120.0,56.474029259707386,56.00000000000001,29.935896562689777,0.0,112.5789566040039,30.866824870216547,20.194504419962566,28.007190715900403,2,126,42.074381256187394,33.0,31.519448966791746
NE003006003,0.0,105.0,48.60029911624746,46.0,25.784426817984485,0.0,62.191314697265625,16.83799013328666,13.872067133585611,13.906288831815312,0,121,32.497552685248145,27.0,24.95111127818727
NE003006004,0.0,120.0,46.42479610490047,43.0,24.118079257449086,0.0,115.34175872802734,29.53310105125376,22.640993200887845,23.74583945949229,13,147,65.50003515432748,61.00000000000001,29.51452188849439
NE003006005,0.0,110.0,41.02605406919738,37.99999999999999,23.667802144046174,0.0,62.964080810546875,19.641813072037685,14.373671213785807,16.48958430680593,6,130,66.11053719008267,69.0,29.091597620998826
NE003006006,0.0,156.0,59.91553105355442,58.0,28.634126550358072,0.0,95.79785919189453,27.008354440753767,21.25077938850952,20.216621190582384,17,190,88.25927615355013,85.0,39.143278425431625
NE003007001,0.0,142.0,55.37538014585663,54.0,28.064068837295967,0.0,105.65225219726562,25.75973865904143,18.783088335721,21.161620896082407,29,439,188.5157878678336,186.5272952853598,94.84147343961996
NE003007002,0.0,184.0,59.07745177586813,54.99999999999999,32.86619192934588,0.0,180.2949981689453,36.27920108891428,31.479175899339758,28.855663706186178,24,518,229.48640485172956,208.4,143.3962087071205
NE003007003,0.0,112.0,41.20095235411795,40.0,21.663342392467975,0.0,96.7091293334961,26.057681706999585,19.845272064208984,22.405939279217815,36,210,95.76614728616646,92.0,37.87175936234163
NE003008001,0.0,98.0,42.93699350107791,41.0,21.862826498824383,0.0,84.1976318359375,19.322378056314104,14.672183418273926,17.536114955682827,63,162,97.42716643849626,93.0,21.53857412733248
NE003008002,0.0,152.0,56.05576041904802,54.0,28.26162963156251,0.0,103.35936737060547,30.67504275714272,26.679875373840332,20.771967374769403,38,247,123.1818061339775,119.0,45.116050095203555
NE003008003,0.0,175.0,69.74152436362213,66.0,35.7577962596081,0.0,119.07837677001953,33.34404613865293,29.717963612964216,24.784187510139187,19,195,76.76556176385463,71.00000000000001,36.73336112483649
NE003008004,0.0,93.0,40.9535198810711,41.00000000000001,19.84478281356637,0.0,91.31946563720703,22.263947748869747,16.836664613230525,19.435310954944644,42,221,103.0837833938641,94.0,41.04349474532867
NE004001001,0.0,148.0,57.89224316219432,55.0,28.47114476797428,0.0,135.9998321533203,41.39473766676469,41.75909666478357,26.434927056237395,0,241,97.329924124916,97.0,55.86255716295548
NE004001002,0.0,148.0,51.57744066713657,46.0,29.933486802689796,0.0,115.71682739257812,27.07693882707466,18.793383213068473,23.02946962342621,0,171,61.958336901319406,58.99999999999999,39.64050404608455
NE004002001,0.0,158.0,64.53424838326511,62.0,32.42513335257701,0.0,131.5726776123047,50.26044983437774,49.426822662353516,24.070306383805544,35,411,190.97688399102532,174.375,91.71733463341181
NE004002002,0.0,402.0,139.28017198781646,130.4273488710852,71.74715273058001,0.0,284.3075256347656,85.80381578438843,78.97000812637681,49.17645463866558,96,640,314.31354367177784,305.36465781409606,113.49402463060312
