ADM3_PCODE,degRural_mean,degRural_median
NE005008002,0.9381847110885216,1.0
NE005009001,0.9975028056712752,1.0
NE005009002,0.9943930823095517,1.0
NE005009003,0.9828388867991813,1.0
NE005009004,0.9768163837564472,1.0
NE005009005,0.996611505820237,1.0
NE005009006,0.9984923393099763,1.0
NE005010001,0.9997296038457756,1.0
NE005011001,0.9977374060025288,1.0
NE005011002,0.9982659485653667,1.0
NE005012001,0.9993221609508885,1.0
NE005013001,0.9751769118489367,1.0
NE005013002,0.8739276870899979,1.0
NE006001001,0.9977978380646564,1.0
NE006001002,0.9982143519883365,1.0
NE006002001,0.9897514058968834,1.0
NE006002002,1.0,1.0
NE006003001,0.9914727364434623,1.0
NE006004001,0.9981491204087903,1.0
NE006005001,0.9972110039565464,1.0
NE006006001,0.9929717910201574,1.0
NE006006002,0.9906973916215723,1.0
NE006006003,0.9942240634908076,1.0
NE006006004,0.997057254668643,1.0
NE006007001,0.9894955552477409,1.0
NE006007002,0.9880254143396567,1.0
NE006008001,0.9859537004676553,1.0
NE006008002,0.9979976364257418,1.0
NE006008003,0.9960664537924013,1.0
NE006008004,0.9707718606533429,1.0
NE006008005,0.9973354417593747,1.0
NE006008006,0.9735990110666354,1.0
NE006008007,0.9946821378223042,1.0
NE006008008,0.7399095547870665,1.0
NE006008009,0.9112017571383749,1.0
NE006008010,0.9801224663798783,1.0
NE006008011,0.996641279462605,1.0
NE006009001,1.0,1.0
NE006009002,0.9940777830935802,1.0
NE006009003,1.0,1.0
NE006009004,0.9987208897925334,1.0
NE006010001,1.0,1.0
NE006010002,0.9878239486218381,1.0
NE006010003,0.9991873533053209,1.0
NE006011001,1.0,1.0
NE006011002,0.9968699646043769,1.0
NE006011003,0.9892374320287145,1.0
NE006011004,0.9741585912264249,1.0
NE006011005,0.9932848286032442,1.0
NE006012001,1.0,1.0
NE006012002,1.0,1.0
NE006012003,0.9890457681021372,1.0
NE006012004,0.9981946858170962,1.0
NE006012005,0.9897594665396523,1.0
NE006012006,0.9031903727390338,1.0
NE006012007,0.9642169550987227,1.0
NE006013001,0.9888246665660319,1.0
NE006013002,0.997576823467752,1.0
NE007001001,0.9990244275685292,1.0
NE007002001,0.9709445858179194,1.0
NE007002002,0.9753307145313606,1.0
NE007002003,0.9864021181315987,1.0
NE007002004,0.9916793472982162,1.0
NE007002005,0.9951082551811972,1.0
NE007002006,0.9991220761693601,1.0
NE007003001,0.9937515415604701,1.0
NE007003002,0.996489692084049,1.0
NE007003003,0.9983830467204383,1.0
NE007003004,0.9911294474515424,1.0
NE007004001,1.0,1.0
NE007004002,0.9989773041738021,1.0
NE007004003,0.9913719034519606,1.0
NE007004004,0.996606109746323,1.0
NE007004005,0.9968156047853343,1.0
NE007004006,0.9997062025819609,1.0
NE007005001,0.8212006617820847,1.0
NE007005002,0.9749585988859338,1.0
NE007005003,0.7842443626025717,1.0
NE007005004,0.9534166691293084,1.0
NE007005005,0.9515350202381234,1.0
NE007005006,0.9177048861203038,1.0
NE007005007,0.8689679197843143,1.0
NE007005008,0.8108795350315579,1.0
NE007005009,0.8423401493021746,1.0
NE007006001,0.9941956014039816,1.0
NE007006002,0.93448098663926,1.0
NE007006003,0.8307170664322492,1.0
NE007006004,0.8826942193571706,1.0
NE007006005,0.7669508606441733,1.0
NE007006006,0.9809772472957852,1.0
NE007006007,0.860364434475357,1.0
NE007007001,0.9878421931258824,1.0
NE007007002,0.9842600833840821,1.0
NE007007003,0.9927664679235824,1.0
NE007007004,0.9839917053944348,1.0
NE007007005,1.0,1.0
NE007007006,0.8586764375020088,1.0
NE007007007,0.9709945380063725,1.0
NE007007008,0.9634373733279287,1.0
NE007008001,0.9984173677449902,1.0
NE007008002,0.9905442904200683,1.0
NE007008003,0.997854348100467,1.0
NE007009001,0.9663553056797558,1.0
NE007009002,0.9965083830714011,1.0
NE007009003,0.9908463354907785,1.0
NE007009004,0.9971003303648377,1.0
NE007009005,1.0,1.0
NE007010001,0.9999569245066223,1.0
NE007011001,0.7987981543084022,1.0
NE007011002,0.7519130602533601,1.0
NE007011003,0.8973011441397055,1.0
NE007011004,0.6205581652390164,1.0
NE007011005,0.9576106513134223,1.0
NE008001001,0.3026339048965885,0.0
NE008001002,0.39964067553000343,0.0
NE008001003,0.7286731196565104,1.0
NE008001004,0.12740129158832667,0.0
NE008001005,0.7588195077484048,1.0
