ADM3_PCODE,population_density_NER_2020
NE006012001,25.83246182298118
NE006012002,71.81841173242388
NE006012003,68.11881138034198
NE006012004,66.86178013162372
NE006012005,55.02587183291439
NE006012006,136.5799686866278
NE006012007,62.31062491893422
NE006013001,32.81922846414798
NE006013002,40.975174762489246
NE007001001,13.581942863385807
NE007002001,203.91439758209745
NE007002002,122.45378346433557
NE007002003,80.2817192352517
NE007002004,82.57356416235697
NE007002005,107.89455748043498
NE007002006,29.633581426690277
NE007003001,114.03598823406735
NE007003002,110.7230959499039
NE007003003,88.4718395495612
NE007003004,61.974750039594696
NE007004001,7.280794910534876
NE007004002,32.71501351995638
NE007004003,30.70858719795658
NE007004004,30.965018563647313
NE007004005,39.93448860566158
NE007004006,13.08688312413194
NE007005001,406.3325516337447
NE007005002,245.10132498970478
NE007005003,163.781436268839
