ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
NE003001001,0.2728593945503235,0.32695814967155457,0.29418039592779766,0.2904999554157257,0.012949265793470813,8.336101309396327E-4,0.0030424182768911123,0.0014773688195127627,0.0013386616483330727,4.6504324305137167E-4
NE003001002,0.2826325595378876,0.3541639745235443,0.3123226242442865,0.3148864805698395,0.017751926770658243,8.200001320801675E-4,0.002616174751892686,0.0012588415270759004,0.0012062143068760633,3.556298815103855E-4
NE003001003,0.2698526382446289,0.3207905888557434,0.2901327829467977,0.288948118686676,0.010804480499874636,8.673304109834135E-4,0.0017304560169577599,0.0011313733855333416,0.0010492309229448438,2.0348661814782908E-4
NE003001004,0.26372194290161133,0.2987605929374695,0.28330435225020434,0.2852306663990021,0.010495110143035315,7.816019933670759E-4,0.0020458411891013384,0.0013832516931575566,0.0013476526364684105,3.2458467701872574E-4
NE003001005,0.2814558446407318,0.31541284918785095,0.29450676528361475,0.29379817843437195,0.00929967235577715,0.0010325894691050053,0.002348502865061164,0.001400328245378792,0.0013547135749831796,3.224364718994593E-4
NE003001006,0.23933900892734528,0.2987605929374695,0.269711792212936,0.27702873945236206,0.0175028588510949,9.245467372238636E-4,0.0019303669687360525,0.0012992226870562466,0.0011440905509516597,2.821585852046727E-4
NE003001007,0.22845037281513214,0.2959064245223999,0.25573940655257116,0.25568994879722595,0.01757952077846627,7.816019933670759E-4,0.002336934208869934,0.0012154749819112134,0.0010783193865790963,4.439309636417569E-4
NE003001008,0.2675408720970154,0.3121098279953003,0.2873478564304656,0.2881060540676117,0.012482835570650452,9.422928560525179E-4,0.002011906588450074,0.0016368485435156888,0.0017167575424537063,2.82576081873158E-4
NE003002001,0.3043515086174011,0.4528876543045044,0.3521591285844634,0.34661778807640076,0.027931901635880635,0.0010429337853565812,0.0027309004217386246,0.001257098283402164,0.0011447573779150844,2.958941129505008E-4
NE003002002,0.27270156145095825,0.3713267743587494,0.3159647906301283,0.31191152334213257,0.022987842531166966,0.0011334294686093926,0.003065509255975485,0.001815451222673018,0.0018101282184943557,4.7619777759444904E-4
