ADM3_PCODE,population_density_BFA_2020
BF480205,133.09520616861255
BF480206,32.728571300051414
BF480207,125.67417475743831
BF480208,56.56086759760449
BF480301,87.39547603384287
BF480302,149.80021630071823
BF480303,122.67102410135544
BF480304,95.81016841767405
BF480305,114.87247428130577
BF480306,243.7866095505665
BF480307,674.9428135595186
BF480308,101.30991048059883
BF480309,141.200300322552
BF490101,61.41222820373796
BF490102,112.84548723989975
BF490103,143.0910808397783
BF490104,92.25611635415156
BF490105,67.40229725923982
BF490106,132.4737364345195
BF490107,83.6186897644683
BF490108,112.2591443463657
BF490109,77.4967756412788
BF490201,96.25751526170585
BF490202,88.66669354040391
BF490203,47.36960660487773
BF490204,64.94008603770465
BF490205,50.97671561920393
BF490206,64.93749938195853
BF490207,76.61221259694807
BF490208,72.74472367850136
BF490301,62.13098538439778
BF490302,131.23792200288133
BF490303,52.31607720238186
BF490304,174.8369942334681
BF490305,93.07706679373695
BF490306,78.76612219248065
BF490307,33.52672438629351
BF490308,51.96468471511139
BF490309,83.58000098547804
BF490310,81.23451284653352
BF490311,69.86181708399076
BF500101,70.70389380611982
BF500102,142.03210988507848
BF500103,153.2812233770027
BF500104,128.853016485829
BF500105,285.8641562982006
BF500107,147.36015849305252
BF500106,109.76070337075319
BF500108,107.82057053670239
BF500109,152.88822353219024
BF500110,133.8754180018291
BF500111,123.626637333479
BF500112,100.96325578353417
BF500113,105.9359476767781
BF500114,60.43408888137868
BF500115,181.9622810060038
BF500201,78.28376334744276
BF500202,75.66067144188561
BF500203,90.5827963729443
BF500204,44.899439317832154
BF500205,126.56568078773606
BF500206,74.68565780687463
BF500207,165.84186112771306
BF500208,52.28049577127638
BF500209,26.956184771655003
BF500210,40.20634620092718
BF500301,33.39162492712615
BF500302,23.289492122968767
BF500303,81.02859553680439
BF500304,25.486814146830604
BF500305,65.62906143163407
BF500306,27.383383085292134
BF500307,51.74531984251654
BF500401,59.53338233421178
BF500402,54.90289090184878
BF500404,38.61649439653021
BF500405,46.155395616345
BF500403,52.40684456704009
BF500406,60.21266397945462
BF510101,46.2589595229207
BF510102,55.21280781835329
BF510103,68.82007989175501
BF510104,55.373148067323434
BF510105,125.65790308859525
BF510106,58.97180288339695
BF510107,49.877660543691086
BF510201,43.43768582658737
BF510202,45.19511142050883
BF510203,146.28451721143355
BF510204,139.9887312253684
BF510205,102.47466505587458
BF510301,106.09619108718101
BF510302,97.36323410695331
BF510303,59.25106859481497
BF510304,73.33965891172775
BF510305,113.8517679640756
BF510306,176.51404152909328
BF510307,60.62574612370555
BF520101,53.346926762442706
BF520102,81.37282970577127
BF520103,29.802401018923845
BF520104,41.088545617167675
BF520105,90.54461383356586
BF520106,79.01555825288132
BF520107,90.02422809733453
BF520201,68.88405355798952
BF520202,84.27175647932275
BF520203,58.600419767626065
BF520204,20.455446826084255
BF520205,45.61516342202559
BF520206,31.914582416467336
BF520301,24.14112018221602
