ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
BF460303,0.23476117849349976,0.3306003510951996,0.28827303065945065,0.2887909710407257,0.025029364135784556,0.002752122702077031,0.00551895285025239,0.004118278040083922,0.004143802914768457,6.507901353930775E-4
BF460304,0.27063822746276855,0.3565828204154968,0.3055097846184026,0.30785056948661804,0.021260984141173625,0.0018735028570517898,0.0055327764712274075,0.0026564542479376005,0.0023744769860059023,8.662367044793359E-4
BF460305,0.17705152928829193,0.3094453811645508,0.25727892542135783,0.2639836072921753,0.026145431766564076,0.0020051023457199335,0.005285069812089205,0.0036571448576357395,0.003669646568596363,7.529962151190028E-4
BF460306,0.25048670172691345,0.3207092583179474,0.28370577084639026,0.2794877588748932,0.01855382415522724,0.0022670221514999866,0.005554656032472849,0.003921258805284514,0.003665317315608263,9.816742466359338E-4
BF460307,0.27087685465812683,0.36047014594078064,0.33125914313688454,0.3442500829696655,0.03150957511164179,0.001667952397838235,0.0022643485572189093,0.0020808161761346183,0.0022189586888998747,2.0822672595230507E-4
BF460308,0.28954118490219116,0.3162609040737152,0.30558511540293687,0.308840274810791,0.01126185302772719,0.0018903858726844192,0.002308459719642997,0.002004746729866843,0.0019473450956866145,1.6033206715982803E-4
BF460309,0.2064531445503235,0.3437977135181427,0.28279170342818144,0.28282811269707925,0.02438244314011594,0.001620969153009355,0.005371198058128357,0.003873204464428845,0.003855810035020113,7.91400826048322E-4
BF460311,0.18277110159397125,0.3330175578594208,0.27726136262448425,0.283194363117218,0.0376420263423604,0.0015189873520284891,0.004888924770057201,0.003655252982399717,0.0037028316874057055,7.579027496815972E-4
BF460401,0.17076878249645233,0.26725590229034424,0.23880409329716054,0.23842446506023407,0.01589798613036432,0.0012362317647784948,0.0039819832891225815,0.0026658234645471233,0.0027898186817765236,7.626697298800944E-4
BF460402,0.21770203113555908,0.3207046091556549,0.24600608885990743,0.2429349720478058,0.019609173994152723,0.0020373559091240168,0.004673078190535307,0.0035537114371662847,0.003573986628664751,6.02053367225202E-4
BF460403,0.2023378163576126,0.27261608839035034,0.2347165640571711,0.23162579536437988,0.016076322084067098,0.0014663449255749583,0.004636505153030157,0.0032839987684276195,0.0034527170937508345,8.152565596880425E-4
BF460404,0.20968598127365112,0.26769423484802246,0.24094665598120177,0.24152015149593353,0.012073468333196563,0.0025220997631549835,0.004175690934062004,0.003290801188674847,0.003323231590911746,5.036034506455412E-4
BF460405,0.21770203113555908,0.26769423484802246,0.2446827027209102,0.24547265470027924,0.012603924546151694,0.0012711439048871398,0.004255070351064205,0.0031772140391220687,0.0031806540209800005,7.290181297671204E-4
BF460406,0.18587663769721985,0.2787885069847107,0.22693884598035874,0.22930926084518433,0.018758573080550813,0.0022745239548385143,0.004297381266951561,0.003260183211577056,0.0031520427888905517,5.716762102068449E-4
BF460407,0.19084513187408447,0.3154870867729187,0.247493236173342,0.244718998670578,0.024621788588098898,0.002038204576820135,0.004636505153030157,0.003158118210167106,0.0030606333166360855,5.859400312962217E-4
BF460501,0.2023378163576126,0.2936657965183258,0.2387206162742494,0.2364952420302589,0.015232012440903955,0.0015527023933827877,0.004649034701287746,0.0033831466444164218,0.0034120275714364704,6.524993512064895E-4
BF460502,0.2261258363723755,0.27872979640960693,0.2549531915992723,0.25697943568229675,0.012670937208417254,0.0014717730227857828,0.003662410657852888,0.002189689426929698,0.0021643738728016615,5.948368031462011E-4
BF460503,0.21572522819042206,0.2527986764907837,0.23406807296233223,0.23586562275886536,0.008744686850976511,0.0024230540730059147,0.0040786066092550755,0.002939427776483301,0.0029498457442969084,4.6297653477565847E-4
BF460504,0.21768029034137726,0.2575991451740265,0.24106875793813465,0.23863182961940765,0.011103971855616327,0.0015208430122584105,0.003662410657852888,0.002859233872972552,0.002886021276935935,4.4098987148104117E-4
BF460505,0.20872147381305695,0.27504992485046387,0.2433317441977461,0.2428240180015564,0.014736486513351589,0.00143034930806607,0.0039363279938697815,0.002680911499616597,0.0027083370368927717,6.259492201721581E-4
BF460506,0.18054333329200745,0.2641649842262268,0.22678053403710466,0.22726166248321533,0.0174612730324875,0.0017105320002883673,0.004083720501512289,0.002884154894153084,0.0027570135425776243,5.107004969104443E-4
BF460601,0.18648993968963623,0.2583109438419342,0.2286803605551234,0.23584318161010742,0.018472521304489002,0.0017794719897210598,0.004180116578936577,0.0028211489281256027,0.0023776337038725615,7.559584086784708E-4
BF460602,0.16020123660564423,0.21739564836025238,0.18739757894441608,0.18726542592048645,0.013754410259175422,0.0012713071191683412,0.0034529773984104395,0.002016825080833167,0.001906722318381071,5.503790117550287E-4
BF460603,0.2001509964466095,0.25223198533058167,0.2237933609765966,0.22205975651741028,0.011756085607697265,0.001758557977154851,0.004744503181427717,0.0027826404279485176,0.0026966228615492582,6.028806752015963E-4
BF460604,0.1682678908109665,0.23604784905910492,0.19442176816535894,0.19414681196212769,0.015371130573238571,0.0010239607654511929,0.0034529773984104395,0.001832702742849188,0.00176001968793571,5.483790587483051E-4
BF460605,0.18277110159397125,0.26956161856651306,0.23246086808542404,0.2288416475057602,0.020728699077750306,0.0015189873520284891,0.004333797376602888,0.0026417202574666584,0.0026698464062064886,7.263820007905898E-4
BF460606,0.1682678908109665,0.24700891971588135,0.2193615487757238,0.22567588090896606,0.021616242458907416,0.0011170932557433844,0.003161668311804533,0.0017341190304101823,0.0016676663653925061,4.8628586729845586E-4
BF460607,0.16020123660564423,0.23669274151325226,0.19106987789758542,0.18757008016109467,0.015044487157991627,0.0013407934457063675,0.004322095308452845,0.002160873837114083,0.0018337788060307503,7.883953372487399E-4
BF460608,0.16733291745185852,0.27504992485046387,0.2146049612695411,0.21546825363959388,0.021982902046191567,0.0010239607654511929,0.004744503181427717,0.0024322897950205544,0.0023881683591753244,7.40962210497463E-4
BF470101,0.14998213946819305,0.2291431725025177,0.19269700369377737,0.19456417858600616,0.01548444391150824,9.697086061351001E-4,0.0024909472558647394,0.0015701935960926638,0.001468244823627174,4.110807015550775E-4
BF470102,0.16275055706501007,0.20652057230472565,0.17703504890654714,0.17137524485588074,0.013364716101523854,9.978939779102802E-4,0.0021499779541045427,0.0016127008692690234,0.0015597565798088908,3.990448210620315E-4
BF470103,0.20622850954532623,0.44746333360671997,0.34270423969979086,0.3453325927257538,0.060360587701165314,7.725782343186438E-4,0.0014889209996908903,0.0011038821262763026,0.0011039819954094861,1.2414864132188942E-4
BF470104,0.1665603518486023,0.22448666393756866,0.19742216268287394,0.20070971548557281,0.013499282219768073,9.608073742128909E-4,0.0017769245896488428,0.0012034343233894755,0.001129334094002843,1.9746224370985351E-4
