GID_3,road_km
BEN.3.6.9_1,8.606235294117647
BEN.3.6.10_1,4.437411764705882
BEN.3.7.1_1,1.96
BEN.3.7.2_1,3.5034509803921567
BEN.3.7.3_1,0.0
BEN.3.7.4_1,12.542823529411766
BEN.3.7.5_1,11.697176470588236
BEN.3.7.6_1,0.0
BEN.3.8.1_1,3.5141176470588236
BEN.3.8.2_1,1.066
BEN.3.8.3_1,0.0
BEN.3.8.4_1,4.97086274509804
BEN.3.8.5_1,0.28
BEN.3.8.6_1,0.03
BEN.3.8.7_1,1.9096078431372547
BEN.3.8.8_1,0.0
BEN.3.8.9_1,10.758588235294116
BEN.3.8.10_1,1.52
BEN.3.8.11_1,7.089333333333334
BEN.4.1.1_1,18.14
BEN.4.1.2_1,11.73
BEN.4.1.3_1,5.88
BEN.4.1.4_1,5.77
BEN.4.1.5_1,12.41
BEN.4.2.1_1,6.82
BEN.4.2.2_1,5.930901960784314
BEN.4.2.3_1,4.21
BEN.4.2.4_1,6.19
BEN.4.2.5_1,6.86
BEN.4.2.6_1,0.33
BEN.4.3.1_1,5.797372549019609
BEN.4.3.2_1,6.2
BEN.4.3.3_1,10.39
BEN.4.3.4_1,10.62
BEN.4.3.5_1,12.26
BEN.4.4.1_1,8.8
BEN.4.4.2_1,6.959098039215686
BEN.4.4.3_1,21.33
BEN.4.4.4_1,5.084980392156862
BEN.4.4.5_1,5.87
BEN.4.4.6_1,3.43
BEN.4.4.7_1,6.08
BEN.4.5.1_1,40.56380392156863
BEN.4.5.2_1,8.422
BEN.4.5.3_1,33.813450980392155
BEN.4.6.1_1,5.25
BEN.4.6.2_1,0.0
BEN.4.6.3_1,1.88
BEN.4.6.4_1,3.29
BEN.4.6.5_1,12.16
BEN.4.6.6_1,0.0
BEN.4.7.1_1,9.5
BEN.4.7.2_1,9.05
BEN.4.7.3_1,7.18
BEN.4.7.4_1,18.152078431372548
BEN.4.8.1_1,2.98
BEN.4.8.2_1,19.21
BEN.4.8.3_1,3.15
BEN.4.8.4_1,0.09
BEN.4.8.5_1,11.42
BEN.4.8.6_1,26.26
BEN.4.8.7_1,14.08
BEN.5.1.1_1,3.6
BEN.5.1.2_1,1.6255686274509804
BEN.5.1.3_1,4.408509803921568
BEN.5.1.4_1,9.681450980392157
BEN.5.1.5_1,4.07
BEN.5.1.6_1,4.814392156862745
BEN.5.1.7_1,0.29
BEN.5.1.8_1,4.26
BEN.5.1.9_1,5.99
BEN.5.2.1_1,2.34
BEN.5.2.2_1,3.15
BEN.5.2.3_1,13.409843137254903
BEN.5.2.4_1,1.46
BEN.5.2.5_1,4.759568627450981
BEN.5.2.6_1,1.6700784313725487
BEN.5.2.7_1,0.0
BEN.5.2.8_1,9.53164705882353
BEN.5.2.9_1,3.87
BEN.5.2.10_1,2.7179607843137257
BEN.5.3.1_1,5.29
BEN.5.3.2_1,1.21
BEN.5.3.3_1,14.04
BEN.5.3.4_1,5.44035294117647
BEN.5.3.5_1,0.0
BEN.5.3.6_1,0.83
BEN.5.3.7_1,0.0
BEN.5.3.8_1,0.0
BEN.5.3.9_1,2.19
BEN.5.3.10_1,1.77
BEN.5.4.1_1,8.91
BEN.5.4.2_1,1.43
BEN.5.4.3_1,0.0
BEN.5.4.4_1,2.58
BEN.5.4.5_1,7.62
BEN.5.4.6_1,0.0
BEN.5.4.7_1,0.0
BEN.5.4.8_1,8.07
BEN.5.4.9_1,7.64
BEN.5.5.1_1,1.3002745098039215
BEN.5.5.2_1,6.58
BEN.5.5.3_1,0.0
BEN.5.5.4_1,4.01
BEN.5.5.5_1,0.0
BEN.5.5.6_1,2.0199607843137257
BEN.5.5.7_1,2.8421568627450977
BEN.5.5.8_1,0.0
BEN.5.5.9_1,4.357921568627451
BEN.5.5.10_1,0.49
BEN.5.5.11_1,5.9432156862745105
BEN.5.5.12_1,3.5761960784313724
BEN.5.5.13_1,8.258235294117647
BEN.5.5.14_1,11.680039215686275
BEN.5.6.1_1,1.5980784313725493
BEN.5.6.2_1,3.09
BEN.5.6.3_1,13.433921568627452
BEN.5.6.4_1,5.56
BEN.5.6.5_1,2.51
BEN.5.6.6_1,3.77
BEN.5.6.7_1,4.502549019607843
BEN.5.6.8_1,5.335176470588235
BEN.6.1.1_1,10.06
BEN.6.1.2_1,37.01
BEN.6.1.3_1,0.29
BEN.6.1.4_1,18.63
BEN.6.2.1_1,5.107725490196079
BEN.6.2.2_1,5.43
BEN.6.2.3_1,10.05
BEN.6.2.4_1,2.36
BEN.6.5.1_1,10.14
BEN.6.5.2_1,24.242588235294118
BEN.6.5.3_1,2.94
BEN.6.5.4_1,5.67
BEN.6.5.5_1,12.56
BEN.6.5.6_1,11.18
BEN.6.5.7_1,9.670235294117647
BEN.6.5.8_1,9.14
BEN.6.5.9_1,5.9157254901960785
BEN.6.6.1_1,21.16988235294118
BEN.6.6.2_1,15.071999999999997
BEN.6.6.3_1,12.891529411764704
BEN.6.4.1_1,8.62
BEN.6.4.2_1,4.325921568627451
BEN.6.4.3_1,16.650274509803925
BEN.6.4.4_1,9.71
BEN.6.4.5_1,1.88
BEN.6.4.6_1,3.649176470588235
BEN.7.1.1_1,7.94
BEN.7.1.2_1,0.0
BEN.7.1.3_1,15.29
BEN.7.1.4_1,0.0
BEN.7.1.5_1,0.0
BEN.7.1.6_1,5.57
BEN.7.1.7_1,0.0
BEN.7.2.1_1,7.32
BEN.7.2.2_1,2.5533333333333332
BEN.7.2.3_1,2.9098823529411764
BEN.7.2.4_1,2.5699215686274512
BEN.7.2.5_1,2.2348235294117647
BEN.7.2.6_1,3.01
BEN.7.2.7_1,3.046509803921569
BEN.7.2.8_1,2.894705882352941
BEN.7.2.9_1,0.0
BEN.7.2.10_1,6.83
BEN.9.6.1_1,0.0
BEN.9.6.2_1,5.6177254901960785
BEN.9.6.3_1,2.04
BEN.9.6.4_1,0.206078431372549
BEN.9.6.5_1,1.69
BEN.9.6.6_1,11.630901960784312
BEN.9.6.7_1,2.4559607843137257
BEN.7.4.1_1,3.68
BEN.7.4.2_1,3.83
BEN.7.4.3_1,3.5659607843137255
BEN.7.4.4_1,3.3
BEN.7.4.5_1,0.0
BEN.7.4.6_1,9.174
BEN.7.4.7_1,2.99
BEN.7.4.8_1,5.305568627450981
BEN.7.5.1_1,0.0
BEN.7.5.2_1,0.0
BEN.7.5.3_1,0.0
BEN.7.5.4_1,0.7903137254901962
BEN.7.5.5_1,0.0
BEN.7.5.6_1,0.0
BEN.7.5.7_1,3.8838431372549023
BEN.7.5.8_1,1.7258039215686276
BEN.7.5.9_1,0.0
BEN.7.5.10_1,0.0
BEN.7.5.11_1,0.0
BEN.7.6.1_1,0.0
BEN.7.6.2_1,0.0
BEN.7.6.3_1,0.0
BEN.7.6.4_1,0.0
BEN.7.6.5_1,0.0
BEN.7.6.6_1,0.0
BEN.7.6.7_1,0.32388235294117645
BEN.8.1.1_1,10.272039215686274
BEN.8.1.2_1,9.159294117647057
BEN.8.1.3_1,24.964705882352945
BEN.8.1.4_1,30.327333333333335
BEN.8.1.5_1,12.062039215686273
BEN.8.1.6_1,0.9327450980392158
BEN.8.1.7_1,22.054431372549022
BEN.8.1.8_1,12.904549019607844
BEN.8.1.9_1,29.98956862745098
BEN.8.1.10_1,26.78090196078431
BEN.8.1.11_1,15.91050980392157
BEN.8.1.12_1,20.556862745098034
BEN.8.1.13_1,19.07694117647059
BEN.9.1.1_1,6.37235294117647
BEN.9.1.2_1,7.833058823529412
BEN.9.1.3_1,1.176313725490196
BEN.9.1.4_1,4.933803921568628
BEN.9.2.1_1,0.0
BEN.9.2.2_1,0.0
BEN.9.2.3_1,5.818941176470588
BEN.9.2.4_1,0.6740392156862745
BEN.9.2.5_1,5.61
BEN.9.2.6_1,7.488235294117647
BEN.9.2.7_1,0.0
BEN.9.3.1_1,2.4674509803921567
BEN.9.3.2_1,3.3107058823529414
BEN.9.3.3_1,19.727019607843136
BEN.9.3.4_1,2.0892156862745095
BEN.9.3.5_1,8.55972549019608
BEN.9.4.1_1,0.34
