GID_3,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
BEN.1.2.2_1,0.2653449773788452,0.30074143409729004,0.2816928009045519,0.27999231219291687,0.010014859111332744,8.990726782940328E-4,0.0017747158417478204,0.0012995830335400008,0.001397905289195478,3.151837632093E-4
BEN.1.2.3_1,0.22223278880119324,0.29346850514411926,0.25767570641381954,0.260663241147995,0.019786213657972677,8.643570472486317E-4,0.0024832196068018675,0.0013660022070804472,0.0014131260104477406,4.651860285456405E-4
BEN.1.2.4_1,0.2509485185146332,0.39290735125541687,0.28685153684114856,0.28725894292195636,0.024072950298106067,6.546636577695608E-4,0.002534282859414816,9.274898273487764E-4,7.654886512047894E-4,4.204325798437487E-4
BEN.1.2.5_1,0.24759668111801147,0.41212737560272217,0.28810667917772886,0.28398847579956055,0.03857518637631125,7.292539230547845E-4,0.002534282859414816,9.889031207405549E-4,8.913428173400462E-4,3.8520350980376846E-4
BEN.1.2.6_1,0.20698431134223938,0.30074143409729004,0.27028340291722125,0.27481070160865784,0.018591667329213715,7.8299775486812E-4,0.0012390168849378824,9.220014575027168E-4,9.095263085328043E-4,9.661570727564827E-5
BEN.1.3.1_1,0.18558292090892792,0.3654061555862427,0.25584656950106266,0.24447007477283478,0.04657639144041688,9.364327415823936E-4,0.0029409213457256556,0.0016003560201763598,0.0014208861393854022,5.743757688836241E-4
BEN.1.3.2_1,0.17727454006671906,0.2898992896080017,0.2332475841594027,0.2340875267982483,0.021145209121142657,8.761401986703277E-4,0.0018352176994085312,0.0010551774011565874,0.0010050901910290122,1.7125784705345599E-4
BEN.1.3.3_1,0.23733793199062347,0.41574177145957947,0.3039156430262582,0.31064870953559875,0.04495561938398327,0.0011275064898654819,0.002741008996963501,0.00200038556359127,0.001910406514070928,5.100631344918794E-4
BEN.1.3.4_1,0.20308388769626617,0.31064870953559875,0.2521743366725261,0.25015535950660706,0.025764262468845448,0.0015136364381760359,0.002861415734514594,0.002301075051367142,0.0022402822505682707,3.7926400343908136E-4
BEN.1.3.5_1,0.20308388769626617,0.24616654217243195,0.21383817031028426,0.20548729598522186,0.015706133567156725,0.0013291618088260293,0.00246662856079638,0.0016625126940198241,0.0013605384156107903,4.2834564498710773E-4
BEN.1.3.6_1,0.20308388769626617,0.23985324800014496,0.21978839805159403,0.2178085893392563,0.010699631573052962,0.001897467183880508,0.002861415734514594,0.0022816950328800904,0.002145166974514723,3.4513256232290173E-4
BEN.1.3.7_1,0.21167504787445068,0.2968768775463104,0.2433662762508447,0.23742862045764923,0.02170651773799526,0.0010001483606174588,0.002741008996963501,0.0018796927605771534,0.0017147561302408576,5.330053610569824E-4
BEN.1.3.8_1,0.16173020005226135,0.24531583487987518,0.20875185891913564,0.2121114432811737,0.018558776630826047,8.977954275906086E-4,0.0026759104803204536,0.0013838707421368298,0.0011919562239199877,4.957597496840846E-4
BEN.1.3.9_1,0.23742862045764923,0.3545408248901367,0.3252119097023689,0.32729601860046387,0.03184163356119113,0.001093048951588571,0.0025649035815149546,0.001845972207053725,0.0016804301412776113,4.7140614504478175E-4
BEN.1.3.10_1,0.26016005873680115,0.40803441405296326,0.33891217028162285,0.34685447812080383,0.029170540223033073,9.025692706927657E-4,0.002741008996963501,0.002008053997094167,0.0021057389676570892,5.297040137661857E-4
BEN.1.4.1_1,0.3838883638381958,0.44222310185432434,0.4190039976517505,0.42291560769081116,0.014597918272425195,0.001910559949465096,0.0029834031593054533,0.0027091283558708977,0.0027683323714882135,3.521029301600905E-4
BEN.1.4.2_1,0.4120287597179413,0.4818606376647949,0.43730602291402915,0.4364387094974518,0.022171690727743276,0.0018296485068276525,0.0027635754086077213,0.002562273627274142,0.002622511936351657,2.49184884123063E-4
BEN.1.4.3_1,0.30298399925231934,0.4820154011249542,0.41083161372843596,0.41447003906772983,0.03469735872882298,8.477438823319972E-4,0.0027804290875792503,0.0013876390435803695,0.0011462140981619855,5.658665130201179E-4
BEN.1.4.4_1,0.3107721507549286,0.48983779549598694,0.4279089405692133,0.4255227744579315,0.026471867806030842,7.328653009608388E-4,0.0027054124511778355,0.0012311549007340702,0.00106467044679448,5.409062349610364E-4
BEN.1.4.5_1,0.33237573504447937,0.48983779549598694,0.44784062913540373,0.4544449547926585,0.029113221037243897,7.384172640740871E-4,0.0027804290875792503,0.0017162054117439774,0.0017782733673953172,5.539453815741105E-4
BEN.1.5.1_1,0.33413633704185486,0.42587992548942566,0.37780824943211444,0.3752359449863434,0.024403471749999833,0.0025178862269967794,0.003813273273408413,0.003247944229212003,0.003380930284038186,3.7302256104239904E-4
BEN.1.5.2_1,0.1852588653564453,0.4047997295856476,0.32142482413711393,0.33588433265686035,0.055783130704059346,0.0010114299366250634,0.0034443740732967854,0.0019755851120745686,0.001835000584833324,7.152105592604977E-4
BEN.1.5.3_1,0.18974782526493073,0.3919106423854828,0.3074383331428453,0.31528058648109436,0.05150124454960881,0.0010135528864338994,0.0034658662043511868,0.0019803257113793957,0.0017813140293583274,7.851591350440648E-4
BEN.1.5.4_1,0.35699281096458435,0.4562439024448395,0.39689711798907573,0.3861332833766937,0.028260707597780578,0.0027343928813934326,0.003813273273408413,0.0032454127890421693,0.003238322678953409,3.153560573282007E-4
