GID_3,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
BEN.1.5.2_1,-0.3161400288524982,0.2899020541489812,0.03656048796294299,0.03718079019798573,0.020205981480574304,-0.30781026745292667,2.5036331667721416,0.08643354120967515,0.06954608918085195,0.09330551324774193
BEN.1.5.3_1,-0.21226966823568155,0.21223608567933774,0.035567385215422166,0.03808356227790857,0.018827167489203104,-0.11775188105093548,1.9548647768737974,0.09079981732826639,0.06970177968929706,0.09215762017267008
BEN.1.5.4_1,-0.07093303597399167,0.2929894794665632,0.04470891910901612,0.038151041549783944,0.026677308421838093,0.027117000544205353,4.570120322739794,0.1690237301903179,0.07594866384002377,0.3384580861287322
BEN.1.5.5_1,-0.12096880882108962,0.3050033176522924,0.03638844872988029,0.03616944603862046,0.019176150058477476,-0.161545982212244,1.0442400005608543,0.09042394075655388,0.06626360264832623,0.07950040068852321
BEN.1.6.1_1,-0.0947734557155941,0.27382418876125786,0.038965027953782955,0.038119250621181516,0.01966028596035099,-0.3356042584304565,0.8247355549593478,0.07266393163439476,0.05878599061612632,0.06920610411744749
BEN.1.6.2_1,-0.390710392523726,0.1639045471203558,0.037798974100520945,0.04083741541057269,0.02197057636851073,-0.12828384492258055,1.9174635768892283,0.0742748806785561,0.054529015036295,0.09278002476196574
BEN.1.6.3_1,-0.6707321887565091,0.2014099587229014,0.0399905332725786,0.040913207096824986,0.020878417697058668,-0.20549430396723828,3.1433726136330646,0.06880821502092914,0.054309314978192046,0.08483486998065407
BEN.1.6.4_1,-0.675943540280319,0.18721359274128363,0.035041039380460166,0.037158182419491016,0.030047135668891535,-0.20799188414544223,3.1627162314017325,0.08168204841021655,0.05464832000496986,0.1270523456235372
BEN.1.6.5_1,-0.0615949930659207,0.24043114815382674,0.03938981236653841,0.038105648658396295,0.012357794960363381,-0.2869539801762412,1.1496038594680915,0.05839708611638154,0.05054409728324001,0.048417891689042085
BEN.2.1.1_1,-1.3734112855800915,0.2206578341775596,0.01896516116824846,0.03553330011438183,0.10069109513605899,-6.978573357974667E-4,6.453203180538757,0.23027425689280076,0.10857316478079435,0.47383059419908324
BEN.2.1.2_1,-0.047646108646101006,0.13417267890292264,0.036104457951592936,0.03450455128877207,0.027544291338342953,-0.036242172293852834,0.5301298724440303,0.12160241868011484,0.08444233354246622,0.1043350670198934
BEN.2.1.3_1,-0.16014545010624542,0.26398204889015425,0.03431852935095994,0.034110284731119815,0.0298305604425593,-0.2674757376024943,1.1028557777005648,0.13493376405473195,0.09785354409259084,0.1172009938600899
