GID_3,population_BEN_2020
BEN.2.7.2_1,4108893.9498047316
BEN.2.7.3_1,2150330.662678754
BEN.2.8.1_1,649758.5473285303
BEN.2.8.2_1,525873.1362898281
BEN.2.8.3_1,645042.7842576231
BEN.2.8.4_1,1546064.789900957
BEN.2.8.5_1,4876157.141165244
BEN.2.9.1_1,5090526.815654356
BEN.2.9.2_1,1539496.3373939374
BEN.2.9.3_1,3245492.797029932
BEN.3.1.1_1,1.248413407469865E7
BEN.3.1.2_1,1.3338028204775436E7
BEN.3.1.3_1,3.1897478418618117E7
BEN.3.1.4_1,3258357.4606619105
BEN.3.1.5_1,5929094.227146013
BEN.3.1.6_1,1499053.561864275
BEN.3.1.7_1,3299183.800785081
BEN.3.1.8_1,7146000.070711147
BEN.3.1.9_1,3442695.4261513497
BEN.3.2.1_1,1008783.7361216233
BEN.3.2.2_1,836971.3010014852
BEN.3.2.3_1,2535134.414363487
BEN.3.2.4_1,642594.0905047251
BEN.3.2.5_1,402477.0659460331
BEN.3.2.6_1,530410.9583660052
BEN.3.2.7_1,262724.8140072693
BEN.3.2.8_1,2065302.307600611
BEN.3.2.9_1,193659.7226060457
BEN.3.2.10_1,1565746.2080550245
BEN.3.2.11_1,1773621.6655476887
BEN.3.2.12_1,422961.5820035151
BEN.3.3.1_1,453001.0237347171
BEN.3.3.2_1,676195.5170065482
BEN.3.3.3_1,2528871.7234573057
BEN.3.3.4_1,648409.5518879314
BEN.3.3.5_1,926506.8277734941
BEN.3.3.6_1,1292297.7366172029
BEN.3.3.7_1,249088.4472989249
BEN.3.3.8_1,483229.7289484358
BEN.3.3.9_1,548805.2500399791
BEN.3.4.1_1,774110.9901037472
BEN.3.4.2_1,1075284.6016361013
BEN.3.4.3_1,1774496.8849034936
BEN.3.4.4_1,1105473.3127867458
BEN.3.4.5_1,1811585.9614561624
BEN.3.4.6_1,1492119.871554542
BEN.3.4.7_1,2151662.4386787573
BEN.3.4.8_1,829445.7286190853
BEN.3.4.9_1,7044181.974807684
BEN.3.4.10_1,3589441.065741803
BEN.3.5.1_1,2189456.2302681697
BEN.3.5.2_1,753429.4320126703
BEN.3.5.3_1,36140.3387286317
BEN.3.5.4_1,797226.337410736
BEN.3.5.5_1,1256960.494502064
BEN.3.5.6_1,1278143.6159000318
BEN.3.5.7_1,141698.02283474786
BEN.3.6.1_1,177252.7889089248
BEN.3.6.2_1,466570.77503600816
BEN.3.6.3_1,1061328.66967956
BEN.3.6.4_1,324722.57212210255
BEN.3.6.5_1,719877.8174661524
BEN.3.6.6_1,721441.2952324663
BEN.3.6.7_1,424599.41497650143
BEN.3.6.8_1,236052.45729616948
BEN.3.6.9_1,794426.6446606206
BEN.3.6.10_1,357904.3024825602
BEN.3.7.1_1,339126.9021250254
