GID_3,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
BEN.4.5.1_1,0.0,255.0,96.13265940211724,79.0,66.59203497572032,0.0,75.35892486572266,17.91861313503289,12.689812713026612,16.457801733260048,0,93,27.253156971970093,22.999999999999996,21.041274315238713
BEN.4.5.2_1,0.0,147.0,75.69950818611275,80.00000000000001,33.7275737386625,0.0,22.096359252929688,9.965610974858532,10.19030451965332,4.981772716582802,0,53,19.126286158027575,15.000000000000002,15.48390257592531
BEN.4.5.3_1,0.0,157.0,64.47196243697805,64.0,37.99207604299787,0.0,30.800212860107422,9.90447646926587,8.061930656433105,7.25653368690982,0,43,11.937843974906666,5.999999999999999,13.305504273995316
BEN.4.6.1_1,0.0,175.0,76.87400066449324,76.0,35.91017722397086,0.0,110.42974853515625,33.1253550903046,28.221419463453746,23.948140819895404,42,176,107.32961978528567,108.0,29.4263357752575
BEN.4.6.2_1,0.0,112.0,56.4101040395667,57.0,22.50050253161136,0.0,64.27651977539062,17.674256774550717,14.811602115631104,12.525531515088357,60,168,106.4833974460475,105.0,19.259630346457993
BEN.4.6.3_1,15.0,177.0,103.28781793842035,106.0,38.21754955187472,1.5582669973373413,59.02848434448242,27.19529574785341,23.870553970336914,13.378989577776597,49,132,87.0610364161961,85.00000000000001,15.41083166603571
BEN.4.6.4_1,0.0,122.0,60.8757366128619,63.0,25.61654609751446,0.0,66.52105712890625,19.176323487099108,15.237033227903654,13.277157300696457,49,133,82.92781620975315,81.0,17.977145297283883
BEN.4.6.5_1,0.0,134.0,52.485052900660364,47.0,32.34900457569656,0.0,49.58401107788086,10.329190340750957,6.575572490692139,10.776289534178172,37,96,52.56820279769934,49.0,11.26970723653581
BEN.4.6.6_1,0.0,185.0,82.1595778545018,83.0,35.022439089961836,0.0,57.03316879272461,14.248601243461438,12.55872269822515,9.886650255865188,48,132,81.06392174147261,82.0,17.106528357061457
BEN.4.7.1_1,0.0,325.0,149.5625387966315,156.72511848341233,74.08117600594709,0.0,160.33888244628906,44.52687512946578,35.46591560545373,33.25056874007593,113,282,173.20282466943894,169.0,34.8417086776947
BEN.4.7.2_1,0.0,271.0,96.42363348391852,86.70413739266199,53.974220652708205,0.0,119.00729370117188,31.6857431301603,18.77100075633321,29.820365486498478,121,266,174.40063173808954,163.0,35.24409492129372
BEN.4.7.3_1,0.0,191.0,85.86322746259245,80.0,43.773313461721855,0.0,66.2365951538086,25.653689417715132,22.229601860046387,15.985101531122247,125,241,179.55287719969826,176.0,19.545563445336313
BEN.4.7.4_1,0.0,338.0,124.0150457721987,96.65556055830706,82.66319824637692,0.0,161.9036407470703,36.52983977165268,23.607573385450934,36.43146440202262,133,318,188.7053306755426,180.0,37.15325793454831
