ADM3_PCODE,volume_batis_m3
CI110107,2012122.764705882
CI110201,7173283.396078432
CI110202,8342051.933333333
CI110203,1416301.9058823537
CI110204,6906540.635294115
CI110301,2.4815977985490194E8
CI110302,2082256.9529411765
CI110303,5783264.301960784
CI110304,6023460.019607842
CI110305,3016775.2705882355
CI110401,1.3819066121568626E7
CI110402,2656747.5098039214
CI110403,3230549.6862745103
CI110404,825040.6705882353
CI120101,7480528.945098039
CI120102,9157700.31764706
CI120103,7742743.921568628
CI120201,2.5383288117647067E7
CI120202,1.840203494509804E7
CI120203,8956676.752941178
CI120204,5776469.941176469
CI120205,4682013.380392157
CI120206,1.803035205882354E7
CI130101,1.3396679254901957E7
CI130102,5410449.152941176
CI130103,9255926.776470589
CI130104,7653244.913725489
CI130105,5566211.11372549
CI130106,8.288459425882351E7
CI130107,9373158.603921566
CI130108,3566658.956862745
CI130109,1.7005276949019603E7
CI130110,1.5911639317647059E7
CI130111,6944189.019607844
CI130112,8803654.266666668
CI130201,3.185809016470589E7
CI130202,1.6871387133333333E7
CI130203,6960294.784313726
CI130204,8812837.278431375
CI140101,1588588.0588235292
CI140102,5260640.854901961
CI140103,4.319849770588235E7
CI140104,4103646.2784313727
CI140105,1.2424265372549018E7
CI140106,1213627.3725490195
CI140107,1283422.474509804
CI140108,5827501.403921569
CI140109,4227933.988235295
CI140110,5391903.05882353
CI140111,5071875.121568628
CI140112,1419337.5568627452
CI140201,1.0860957839215687E7
CI140202,2865563.9568627453
CI140203,2736879.647058823
CI140204,5882812.125490197
CI140205,8943431.960784312
CI140206,6266465.5058823535
CI140301,5086457.521568627
CI140302,1585706.788235294
CI140303,2210523.062745098
CI140304,4239701.31372549
CI140401,1.406093528235294E7
CI140402,1752031.2352941178
CI140403,2746321.925490196
CI140404,3738919.8823529417
CI140501,7707143.070588235
CI140502,8147490.305882354
CI140503,4013418.2039215695
CI150101,3.6390725184313715E7
CI150102,5192459.874509805
CI150103,7936107.666666666
CI150201,4877365.45882353
CI150202,3670920.533333334
CI150203,3231628.5019607837
CI150204,1.808283802352941E7
CI150205,627430.250980392
CI150301,1.5487949352941178E7
CI150302,781767.9686274509
CI160101,1.27059604627451E7
CI160102,3526093.176470588
CI160103,4571474.847058823
CI160104,3836675.0078431373
CI160105,3013642.6745098038
CI160106,4385492.294117646
CI160107,1.1320975568627449E7
CI160108,1892923.2274509806
CI160109,7709434.376470589
CI160201,8605119.835294116
CI160202,4.110453422352941E7
CI160203,1.4571797921568627E7
CI160204,6970054.725490195
CI160205,1.474391265882353E7
CI160301,4026140.3921568617
CI160302,2031128.9921568632
CI160303,1755468.7333333336
CI160304,8002688.196078431
CI160305,1696977.3215686276
CI160401,7684477.643137254
CI160402,2034691.717647059
CI160403,1.0777910670588236E7
CI160404,3093719.980392156
CI170101,3537896.082352941
