ADM3_PCODE,population_density_CIV_2020
CI160108,172.6375916005134
CI160109,229.22218803475917
CI160201,127.25943053131208
CI160202,289.2848474990375
CI160203,171.58901658709044
CI160204,176.90504328603618
CI160205,104.46844220602966
CI160301,191.69175117827515
CI160302,52.191355029294606
CI160303,63.73097293914513
CI160304,64.74151770761006
CI160305,142.52400482775678
CI160401,179.5813904220803
CI160402,98.92338139910854
CI160403,97.81141105384155
CI160404,89.43486140097687
CI170101,19.752911130603653
CI170102,43.50080612969109
CI170103,35.55426063508378
CI170104,9.881573862025
CI170105,27.519742259965742
CI170106,28.919354834918977
CI170107,35.19719868779168
CI170108,54.8014100959427
CI170109,8.54094296484216
CI170110,14.860930581322116
CI170201,83.46744586905339
CI170202,28.980536739304664
CI170203,24.238867203963164
CI170301,20.629772463572348
CI170302,14.466724497644945
