ADM3_PCODE,population_CIV_2020
CI220107,2584208.426969804
CI220201,4840836.066475057
CI220202,4283386.0542218825
CI220203,2119729.8031605547
CI220204,2057445.860118179
CI220301,7459735.971096349
CI220302,1244518.9811302929
CI220303,2565561.289142704
CI220304,1468251.395541702
CI220305,5936298.516721076
CI220306,925654.6048667305
CI230101,2697586.5771466983
CI230102,1.5495059178623639E7
CI230103,2.290164456761655E7
CI230104,3066540.1966705616
CI230105,1345492.3483674596
CI230106,2284014.6030718503
CI230107,4810246.705506362
CI230201,1.2632516738598151E7
CI230202,3398121.028591033
CI230203,4974933.677478713
CI230204,2140103.3889841707
CI230301,7909177.073001883
CI230302,3394636.965777664
CI230303,618023.0808448038
CI230304,2746812.0967797404
CI230305,1993995.306397763
CI230306,1919490.6181121992
CI230307,2467428.318926362
CI240101,9471246.268210461
CI240102,2604906.396200291
CI240103,1874879.6247161205
CI240104,1049624.3383206157
CI240105,2129408.074269036
CI240106,1393471.7713677867
CI240201,2625998.430863389
CI240202,6174331.864056765
CI240203,2289211.863945354
CI240301,2859783.0986646735
CI240302,3823798.769307922
CI240303,1379795.9885440168
CI240304,3715963.7393956007
CI240305,1002171.4743775078
CI240401,4895549.2892560195
CI240402,1355039.7969216723
CI240403,2225176.9176527048
CI250101,3094088.073035296
CI250102,2395035.1864630654
CI250103,2043651.2385679795
CI250201,5339724.665041168
CI250202,1635104.8140320797
CI250203,6591928.623900702
CI250204,3710551.4730481342
CI250301,4389301.168772601
CI250302,1680803.365308554
CI250303,639620.8125916583
CI250304,2564799.73905512
CI270101,2438567.75893148
CI270102,6455852.211195473
CI270103,1893820.0143201551
CI270104,2849890.127665763
CI270201,832783.1470369244
CI270202,945468.1894570638
CI270203,5780174.715618217
CI270204,615788.0119889278
CI270301,2063158.0832054408
CI270302,1246031.5510742788
CI260101,9940965.97045349
CI260102,7791046.993533313
CI260201,3876651.6032958813
CI260202,4439629.806694073
CI260301,1.3177211011880197E7
CI260302,7277104.835065519
CI260401,1.8164200555011924E7
CI260402,1.15674116110165E7
CI260403,1.0278611059424754E7
CI260404,8000435.739467614
CI260405,1.1631018134300154E7
CI280101,2507342.214881781
CI280102,4112988.589150234
CI280103,1738717.1845198602
CI280201,2.948404163417849E7
CI280202,657837.980593184
CI280203,1932646.6360612987
CI280204,2054413.07991541
CI280205,2296787.9607699183
CI280206,584296.8454785134
CI280207,1343369.9895993853
CI280208,1981071.1205941122
CI280209,3115998.9100082377
CI280210,561323.0300674351
CI280211,848669.5981011237
CI280212,2387051.662931354
CI280213,2760133.381031249
CI280214,2867600.492389089
CI280215,923615.2710278443
CI280216,1629788.6942434348
CI280301,5857870.652699457
CI280302,1506086.020171102
CI280303,995878.9996155606
CI280304,1802155.742543578
CI280401,3458612.7738389485
CI280402,718271.8935693036
CI280403,922480.6136600788
CI280404,772998.5451507256
CI290101,2.577703468032765E7
CI290102,1.2271675743021252E7
CI290103,3772581.25625413
CI290104,1.1093144116369583E7
CI290105,9729309.998679684
CI290201,3603814.9798963503
CI290202,1421635.7990357627
CI290203,1488513.6898756316
CI290204,6901053.121687637
CI290205,3777469.919989359
CI290206,1522592.2170767318
CI300101,7234083.266940328
CI300102,5126157.797521866
CI300103,2265375.745358171
CI300104,1244070.804712815
CI300105,3734752.3573033004
CI300106,2737783.8920000657
CI300107,3226900.587073425
CI300108,1772129.4264394434
CI300201,3895599.8982927687
CI300202,1473979.583881572
CI300203,1927589.5863947303
CI300301,2194397.72524372
CI300302,6668298.624235008
CI300303,7778156.51384163
CI300401,2340684.8293989943
CI300402,2787212.63210851
CI300403,1991058.9612222165
CI310101,1.2001140496809727E7
CI310102,1010216.7333620872
CI310103,1328166.889915808
CI310201,3558844.1071447222
CI310202,2276170.2317987587
CI310203,1837827.6378460624
CI310204,2458816.188658693
CI310301,8265786.878424544
CI310302,7888631.446794511
CI310303,2991358.507343645
CI310304,3229740.920554002
CI310305,3753977.0576023194
CI320101,4727634.151850954
CI320102,1339316.2796120436
CI320103,319714.7603088081
CI320104,3336732.0131173814
CI320105,1390827.2291740666
CI320106,628095.566083923
CI320107,2502053.2300569825
CI320201,3330232.058335594
CI320202,1.0064126723852284E7
CI320203,1240460.8046401455
CI320204,2732236.622883652
CI320205,4305211.581361317
CI320206,1916881.2973651355
CI320207,2200625.3296775846
CI320301,1.8725960863029912E7
CI320302,1539152.7780164445
CI320303,323852.8170811524
CI320304,1078297.5047286386
CI320305,2792675.4276370634
CI320306,2176683.542014263
CI320307,779363.6365273721
CI320308,3676430.523470362
CI320309,815402.9878862199
CI320310,547699.3997351403
CI320311,961488.5695231353
CI320401,2345280.9130396983
CI320402,2012684.9974763803
CI320501,8345848.321258681
CI320502,1337740.9018390586
CI320503,2895933.35773762
CI320504,2115752.8943646
CI320505,3973609.9691025233
CI320506,1156913.9360508807
CI330101,3085226.6369844987
CI330102,1185673.1102494306
CI330103,1515927.6068165326
CI330104,1559409.7257103415
CI330201,6367298.123932022
CI330202,2508959.1912772814
CI330203,847743.7933039479
CI330204,994872.5068360242
CI330205,2312975.3322082446
CI330206,2365294.031037427
CI330207,4491162.893642466
