ADM3_PCODE,young,elderly,working,dependency_ratio
CI050205,12307.93252874125,1055.016961688313,14219.027254149307,0.9397935070790494
CI050301,39156.96884953429,3354.376709491619,45230.39162809703,0.9398845340224281
CI050302,2772.834126187603,235.28385776523922,3193.284904493528,0.9420136548792992
CI050303,12718.032344182373,1025.0277385973961,14408.781365211758,0.9537975304393687
CI050304,4147.4493748189025,348.8228713235899,4762.717732785655,0.9440559987821655
CI060101,7282.47192316226,873.1184797948905,8158.688429578152,0.9996202788416617
CI060102,12307.899296379766,1475.632784856056,13788.767967600263,0.9996202788837448
CI060103,12778.381456993595,1520.9874522511645,14359.910926817485,0.9957839559116163
CI060104,5809.924224824476,692.3800216601297,6525.666109324174,0.9964200033455302
CI060105,13129.680443640265,1563.044368783113,14753.722521326921,0.995865605523259
CI060201,5721.752548802101,654.7422414654956,6517.11395930001,0.978423091891504
CI060202,5190.159906164243,622.2646068453151,5814.632454457091,0.9996202784157336
CI060301,22394.36851445529,2670.058812306121,25148.10322486451,0.9966726755749767
CI060302,6443.193582937419,772.4947579932791,7218.429331186568,0.9996202788542893
CI060303,8752.928533824395,1049.0580840213163,9807.394355400113,0.9994486060865471
CI060304,5313.990253815613,637.1110168801737,5953.3618882674455,0.9996202788249586
CI060401,21563.88887146751,2584.8868370562927,24160.72108532935,0.9995055869084635
CI060402,5858.186224648592,702.3563846183364,6563.0347328520675,0.9996202787755084
CI060403,11332.343294174816,1330.7190564652146,12693.606577084543,0.9975937314380253
CI060404,15033.409361498438,1742.1355569445554,17133.14023307516,0.979128442902613
CI070101,29343.102653204307,2114.5615475832046,31291.7348688781,1.005302656839089
CI070102,23479.12855563879,1683.195359231809,24981.147659453633,1.0072525192952215
CI070201,24426.920301039518,1666.4896683654765,26376.372547815816,0.9892721192841109
CI070202,20739.622670590525,1482.4530496961706,22066.959225799343,1.0070293551957081
CI070301,30990.43215417932,2218.9627358347425,32955.52722750134,1.0077033409528
CI070302,17160.25201517825,1234.0359465903207,18279.8224981218,1.0062618476551688
CI070303,17319.920911510355,1245.108312518611,18448.23878260121,1.0063307095492446
CI070304,18379.540604190315,1316.0138295125469,19544.932296382965,1.0077064548004482
CI070305,19820.021297649626,1419.1779749499033,21076.88374075771,1.007701116248411
CI080101,6324.5360949544975,770.9968931934836,7130.825649481423,0.9950506907519175
CI080102,24348.45303929491,2957.3930013639233,27508.397330110307,0.9926367469896268
CI080103,11602.787313617171,1414.0120240528465,13106.470280142226,0.9931582691178059
CI080104,61.06397947246214,7.227321809804259,69.02637975503708,0.9893507601676439
CI080105,5332.083105236597,646.1982526853117,6078.513422178466,0.9835104313678334
CI080201,4099.183818156903,489.4778153516745,4625.326248045799,0.992073074941965
CI080202,22098.12076020639,2667.9136082126392,24924.338970620363,0.9936485937545652
CI080203,3621.4654210230005,425.2800890907935,4088.7752356565593,0.989720705316291
