COUNTRY,GID_0,NAME_1,GID_1,NAME_2,GID_2,NAME_3,GID_3,TYPE_3,mean_p0,sd_p0,cv_p0
Benin,BEN,Ouémé,BEN.10_1,Dangbo,BEN.10.7_1,Dékin,BEN.10.7.2_1,Arrondissement,0,0,
Benin,BEN,Kouffo,BEN.7_1,Aplahoué,BEN.7.1_1,Dekpo,BEN.7.1.4_1,Arrondissement,.60423708,.48901987,.80931789
Benin,BEN,Borgou,BEN.4_1,Kalalé,BEN.4.2_1,Dèrassi,BEN.4.2.3_1,Arrondissement,.19672132,.3975257,2.0207555
Benin,BEN,Kouffo,BEN.7_1,Dogbo,BEN.9.6_1,Dèvè,BEN.9.6.2_1,Arrondissement,.49966085,.50000614,1.0006911
Benin,BEN,Atakora,BEN.2_1,Boukoumbé,BEN.2.1_1,Dipoili,BEN.2.1.2_1,Arrondissement,.3114754,.4631153,1.4868439
Benin,BEN,Kouffo,BEN.7_1,Djakotomey,BEN.7.2_1,DjakotomeyI,BEN.7.2.3_1,Arrondissement,.29246223,.45491236,1.5554568
Benin,BEN,Kouffo,BEN.7_1,Djakotomey,BEN.7.2_1,DjakotomeyII,BEN.7.2.4_1,Arrondissement,.23277193,.42261365,1.8155696
Benin,BEN,Collines,BEN.5_1,Savalou,BEN.5.5_1,Djaloukou,BEN.5.5.1_1,Arrondissement,.68081993,.4661696,.68471789
Benin,BEN,Mono,BEN.9_1,Grand-Popo,BEN.9.4_1,Djanglanmey,BEN.9.4.4_1,Arrondissement,.15384616,.36082059,2.3453338
Benin,BEN,Zou,BEN.12_1,Abomey,BEN.12.1_1,Djègbè,BEN.12.1.3_1,Arrondissement,.4385626,.49621907,1.1314669
Benin,BEN,Zou,BEN.12_1,Djidja,BEN.12.5_1,Djidja,BEN.12.5.4_1,Arrondissement,.47272727,.49926409,1.0561355
Benin,BEN,Ouémé,BEN.10_1,Avrankou,BEN.10.5_1,Djomon,BEN.10.5.3_1,Arrondissement,.25,.43302339,1.7320936
Benin,BEN,Kouffo,BEN.7_1,Klouékanmè,BEN.7.4_1,Djotto,BEN.7.4.4_1,Arrondissement,.37295243,.48360017,1.2966806
Benin,BEN,Donga,BEN.6_1,DjougouUrbain,BEN.6.6_1,DjougouI,BEN.6.6.1_1,Arrondissement,.17732765,.38194892,2.1539164
Benin,BEN,Donga,BEN.6_1,DjougouUrbain,BEN.6.6_1,DjougouII,BEN.6.6.2_1,Arrondissement,.31375685,.46402547,1.4789333
Benin,BEN,Donga,BEN.6_1,DjougouUrbain,BEN.6.6_1,DjougouIII,BEN.6.6.3_1,Arrondissement,.26276356,.4401412,1.6750466
Benin,BEN,Ouémé,BEN.10_1,Sèmè-Kpodji,BEN.10.9_1,Djrègbè,BEN.10.9.3_1,Arrondissement,.19386822,.39533383,2.0391884
Benin,BEN,Atlantique,BEN.3_1,Zè,BEN.3.8_1,Dodji-Bata,BEN.3.8.4_1,Arrondissement,.80434781,.39671084,.49320808
Benin,BEN,Kouffo,BEN.7_1,Toviklin,BEN.7.6_1,Doko,BEN.7.6.3_1,Arrondissement,.63278687,.48206851,.76181811
Benin,BEN,Alibori,BEN.1_1,Kandi,BEN.1.3_1,Donwari,BEN.1.3.3_1,Arrondissement,.27710843,.44757736,1.6151705
Benin,BEN,Collines,BEN.5_1,Savalou,BEN.5.5_1,Doumè,BEN.5.5.2_1,Arrondissement,0,0,
Benin,BEN,Mono,BEN.9_1,Houéyogbé,BEN.9.5_1,Doutou,BEN.9.5.2_1,Arrondissement,.53985453,.49841624,.92324173
Benin,BEN,Borgou,BEN.4_1,Kalalé,BEN.4.2_1,Dunkassa,BEN.4.2.4_1,Arrondissement,1,0,0
Benin,BEN,Ouémé,BEN.10_1,Sèmè-Kpodji,BEN.10.9_1,Ekpè,BEN.10.9.4_1,Arrondissement,.12359479,.32912019,2.6628969
Benin,BEN,Atakora,BEN.2_1,Kérou,BEN.2.3_1,Firou,BEN.2.3.2_1,Arrondissement,.60606062,.48865986,.80628872
Benin,BEN,Atakora,BEN.2_1,Kouandé,BEN.2.4_1,Fô-Tancé,BEN.2.4.3_1,Arrondissement,.37454697,.48401251,1.2922611
Benin,BEN,Alibori,BEN.1_1,Banikoara,BEN.1.1_1,Founougo,BEN.1.1.2_1,Arrondissement,.39473686,.48880431,1.2383043
Benin,BEN,Atlantique,BEN.3_1,Ouidah,BEN.3.4_1,Gakpè,BEN.3.4.7_1,Arrondissement,.1025641,.30339921,2.9581423
Benin,BEN,Borgou,BEN.4_1,Bembèrèkè,BEN.4.1_1,Gamia,BEN.4.1.4_1,Arrondissement,.37313432,.48364589,1.2961711
Benin,BEN,Ouémé,BEN.10_1,Adjohoun,BEN.10.2_1,Gangban,BEN.10.2.6_1,Arrondissement,0,0,
Benin,BEN,Atlantique,BEN.3_1,Sô-Ava,BEN.3.5_1,GanvieI,BEN.3.5.3_1,Arrondissement,.25750241,.43726724,1.6981094
Benin,BEN,Atlantique,BEN.3_1,Sô-Ava,BEN.3.5_1,GanvieII,BEN.3.5.4_1,Arrondissement,.32394367,.467987,1.4446554
Benin,BEN,Alibori,BEN.1_1,Malanville,BEN.1.5_1,Garou,BEN.1.5.1_1,Arrondissement,.69473684,.46052462,.66287637
Benin,BEN,Collines,BEN.5_1,Dassa-Zoumè,BEN.5.2_1,Gbaffo,BEN.5.2.4_1,Arrondissement,.45047906,.49755481,1.1045015
Benin,BEN,Mono,BEN.9_1,Bopa,BEN.9.2_1,Gbakpodji,BEN.9.2.4_1,Arrondissement,.95744681,.201859,.21083051
Benin,BEN,Collines,BEN.5_1,Ouèssè,BEN.5.4_1,Gbanlin,BEN.5.4.3_1,Arrondissement,.14772727,.35483691,2.401973
Benin,BEN,Mono,BEN.9_1,Grand-Popo,BEN.9.4_1,Gbéhoué,BEN.9.4.5_1,Arrondissement,.69696969,.4596099,.65944028
Benin,BEN,Ouémé,BEN.10_1,Dangbo,BEN.10.7_1,Gbéko,BEN.10.7.3_1,Arrondissement,.1641791,.37044507,2.2563474
Benin,BEN,Ouémé,BEN.10_1,Avrankou,BEN.10.5_1,Gbozounmè,BEN.10.5.4_1,Arrondissement,.088044263,.28336778,3.2184696
Benin,BEN,Collines,BEN.5_1,Glazoué,BEN.5.3_1,Glazoué,BEN.5.3.3_1,Arrondissement,.18367347,.38722771,2.1082397
Benin,BEN,Borgou,BEN.4_1,Pèrèrè,BEN.4.6_1,Gninagourou,BEN.4.6.1_1,Arrondissement,.38143903,.48575002,1.2734671
Benin,BEN,Borgou,BEN.4_1,Pèrèrè,BEN.4.6_1,Gninsy,BEN.4.6.2_1,Arrondissement,.76404494,.42460254,.55572981
Benin,BEN,Kouffo,BEN.7_1,Lalo,BEN.7.5_1,Gnizounmè,BEN.7.5.5_1,Arrondissement,.51666665,.49973276,.96722472
Benin,BEN,Kouffo,BEN.7_1,Aplahoué,BEN.7.1_1,Godohou,BEN.7.1.5_1,Arrondissement,.66256893,.47284064,.71364748
Benin,BEN,Atlantique,BEN.3_1,Abomey-Calavi,BEN.3.1_1,Godomey,BEN.3.1.3_1,Arrondissement,.1661254,.37219375,2.2404385
Benin,BEN,Alibori,BEN.1_1,Gogounou,BEN.1.2_1,Gogounou,BEN.1.2.2_1,Arrondissement,.46031746,.49843407,1.082805
Benin,BEN,Kouffo,BEN.7_1,Djakotomey,BEN.7.2_1,Gohomey,BEN.7.2.5_1,Arrondissement,0,0,
Benin,BEN,Atlantique,BEN.3_1,Abomey-Calavi,BEN.3.1_1,Golo-Djigbé,BEN.3.1.4_1,Arrondissement,.44630849,.49711299,1.1138327
Benin,BEN,Collines,BEN.5_1,Glazoué,BEN.5.3_1,Gomè,BEN.5.3.4_1,Arrondissement,0,0,
Benin,BEN,Ouémé,BEN.10_1,Akpro-Missérété,BEN.10.4_1,Gomè-Sota,BEN.10.4.2_1,Arrondissement,.15254237,.35955015,2.3570511
Benin,BEN,Alibori,BEN.1_1,Banikoara,BEN.1.1_1,Gomparou,BEN.1.1.3_1,Arrondissement,.64506269,.47850156,.74179077
Benin,BEN,Atakora,BEN.2_1,Matéri,BEN.2.5_1,Gouandé,BEN.2.5.2_1,Arrondissement,.21428572,.4103345,1.9148943
Benin,BEN,Collines,BEN.5_1,Bantè,BEN.5.1_1,Gouka,BEN.5.1.6_1,Arrondissement,0,0,
