ADM3_PCODE,events,events_VAC,events_Battles,events_Riots,events_Protests,events_ERV,events_SD,conflict_diffusion_indicator,cdi_VAC,cdi_Battles,cdi_Riots,cdi_Protests,cdi_ERV,cdi_SD
BF480304,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
BF480305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480307,7.0,3.0,0.0,0.0,4.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0
BF480308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF490101,147.0,42.0,46.0,3.0,0.0,38.0,18.0,1.0,0.8461538461538461,0.7692307692307693,0.07692307692307693,0.0,0.6923076923076923,0.5384615384615384
BF490102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF490103,47.0,19.0,2.0,0.0,6.0,4.0,16.0,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714
BF490104,7.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
BF490105,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
BF490106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF490107,18.0,4.0,0.0,3.0,2.0,1.0,8.0,0.8,0.4,0.0,0.4,0.2,0.2,0.6
BF490108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF490109,13.0,7.0,2.0,0.0,0.0,2.0,2.0,0.75,0.75,0.25,0.0,0.0,0.5,0.25
BF490201,9.0,1.0,7.0,0.0,0.0,0.0,1.0,0.4,0.2,0.4,0.0,0.0,0.0,0.2
BF490202,10.0,2.0,0.0,3.0,3.0,0.0,2.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
BF490203,63.0,14.0,27.0,0.0,0.0,13.0,9.0,0.9090909090909091,0.45454545454545453,0.7272727272727273,0.0,0.0,0.6363636363636364,0.36363636363636365
BF490204,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
BF490205,7.0,0.0,1.0,0.0,0.0,1.0,5.0,0.75,0.0,0.25,0.0,0.0,0.25,0.5
BF490206,28.0,3.0,4.0,0.0,0.0,4.0,17.0,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0,0.16666666666666666,0.2222222222222222
BF490207,22.0,3.0,6.0,0.0,0.0,2.0,11.0,1.0,0.5,0.5,0.0,0.0,0.5,0.75
BF490208,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.0,0.2,0.0,0.0,0.0,0.2
BF490301,110.0,29.0,30.0,0.0,2.0,22.0,27.0,0.7,0.35,0.5,0.0,0.05,0.5,0.3
BF490302,37.0,7.0,2.0,9.0,14.0,1.0,4.0,0.3,0.2,0.1,0.1,0.1,0.1,0.2
BF490303,46.0,17.0,13.0,0.0,2.0,7.0,7.0,0.8333333333333334,0.5,0.6666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666
BF490304,23.0,0.0,2.0,0.0,0.0,4.0,17.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.5,0.5
