ADM3_PCODE,degRural_mean,degRural_median
BF470107,0.9939545329149281,1.0
BF470108,0.9850514743349821,1.0
BF470109,0.9901358285203461,1.0
BF470201,0.9999533286039651,1.0
BF470202,0.9485910129474485,1.0
BF470203,1.0,1.0
BF470204,0.9716232006168178,1.0
BF470205,0.9873096446700503,1.0
BF470206,1.0,1.0
BF470207,0.9607391635274055,1.0
BF470208,0.9968352504412391,1.0
BF480101,0.9802428961589865,1.0
BF480102,0.9457188106672115,1.0
BF480103,0.6828893027775528,1.0
BF480104,0.955191115702479,1.0
BF480105,0.978324149795552,1.0
BF480106,0.9523938886836331,1.0
BF480107,0.8734551277385539,1.0
BF480108,0.9185522908927165,1.0
BF480109,0.9586748510561474,1.0
BF480110,0.9615546354402534,1.0
BF480111,0.9088014583265211,1.0
BF480112,0.9837669487526348,1.0
BF480113,0.9261920313520575,1.0
BF480202,1.0,1.0
BF480201,0.969844183120311,1.0
BF480203,0.9863442324464096,1.0
BF480204,0.9792586930477665,1.0
BF480205,0.907932404531811,1.0
BF480206,0.9951597541476199,1.0
BF480207,0.9715964740450539,1.0
BF480208,0.978364612072886,1.0
BF480301,0.9831382662170204,1.0
BF480302,0.8992526448607202,1.0
BF480303,0.9365270542892415,1.0
BF480304,0.9625582078281663,1.0
BF480305,0.9657050322208542,1.0
BF480306,0.9375751140566844,1.0
BF480307,0.8420702928103376,1.0
BF480308,0.9999834450790498,1.0
BF480309,0.8841991068950731,1.0
BF490101,0.9881129112072122,1.0
BF490102,0.9357728686292519,1.0
BF490103,0.9517544374186131,1.0
BF490104,0.9212940879373721,1.0
BF490105,0.986012835280566,1.0
BF490106,0.9168866725334898,1.0
BF490107,0.9742001483913032,1.0
BF490108,0.9549727754468889,1.0
BF490109,0.9829034011961577,1.0
BF490201,0.9892036072653372,1.0
BF490202,0.98688478497905,1.0
BF490203,1.0,1.0
BF490204,0.9908125324263561,1.0
BF490205,1.0,1.0
BF490206,0.9939055722189692,1.0
BF490207,0.9789557658450704,1.0
BF490208,0.9825352719018453,1.0
BF490301,0.9873861261970682,1.0
BF490302,0.9659842686257164,1.0
BF490303,0.9857674087614157,1.0
BF490304,0.9567062144400827,1.0
BF490305,0.9813918415995719,1.0
BF490306,0.9845575292046728,1.0
BF490307,1.0,1.0
BF490308,0.9858922362614213,1.0
BF490309,0.9824175824175823,1.0
BF490310,0.9917877651325601,1.0
BF490311,1.0,1.0
BF500101,0.9889535536209578,1.0
BF500102,0.9597057377624834,1.0
BF500103,0.9249155745577347,1.0
BF500104,0.9567215426191626,1.0
BF500105,0.8923394480141158,1.0
BF500107,0.9811575194428537,1.0
BF500106,0.9531169852614302,1.0
BF500108,0.9599063608252827,1.0
BF500109,0.8729059874227131,1.0
BF500110,0.9051956501533603,1.0
BF500111,0.9743185175238351,1.0
BF500112,0.9430982883545104,1.0
BF500113,0.9961597542242704,1.0
BF500114,1.0,1.0
BF500115,0.9482861658189352,1.0
BF500201,0.97568224804107,1.0
BF500202,0.9858808330000923,1.0
BF500203,1.0,1.0
BF500204,0.9616066716842714,1.0
BF500205,0.918824562103499,1.0
BF500206,0.9745483581195729,1.0
BF500207,0.8773256292341307,1.0
BF500208,0.9887665198237887,1.0
BF500209,0.9924330098815989,1.0
BF500210,1.0,1.0
BF500301,1.0,1.0
BF500302,0.9941901970016864,1.0
BF500303,0.9755625212130892,1.0
BF500304,1.0,1.0
BF500305,1.0,1.0
BF500306,1.0,1.0
BF500307,0.9917005155444462,1.0
BF500401,0.9855090765588003,1.0
BF500402,0.9606421323211798,1.0
BF500404,1.0,1.0
BF500405,0.9823267132307076,1.0
BF500403,0.9950483513922871,1.0
BF500406,0.9937408071054584,1.0
BF510101,1.0,1.0
BF510102,1.0,1.0
BF510103,0.961529032379731,1.0
BF510104,0.9928490650095383,1.0
BF510105,0.9661374818237953,1.0
BF510106,0.9889127680190812,1.0
BF510107,0.9900199857336563,1.0
BF510201,1.0,1.0
BF510202,0.986455720244394,1.0
BF510203,0.8298143429195485,1.0
BF510204,0.8789145907473309,1.0
BF510205,0.9216072540811449,1.0
BF510301,0.9633139687541026,1.0
BF510302,0.9577431571937906,1.0
BF510303,0.9873107218645473,1.0
BF510304,0.9561796104966648,1.0
BF510305,0.9947950643330046,1.0
BF510306,0.9314516129032256,1.0
BF510307,0.9848928677220814,1.0
BF520101,0.9912813338765337,1.0
BF520102,0.9865855996494399,1.0
BF520103,1.0,1.0
BF520104,0.9961890243902439,1.0
BF520105,0.9725961361319562,1.0
BF520106,0.9784671769219345,1.0
BF520107,0.9906887863776336,1.0
BF520201,0.9782140641535598,1.0
BF520202,0.9804641631077836,1.0
BF520203,0.9845708514741794,1.0
BF520204,0.9989092476974433,1.0
BF520205,0.9840402833489801,1.0
BF520206,1.0,1.0
BF520301,1.0,1.0
BF520302,0.9972770083398294,1.0
BF520303,0.9962382056683601,1.0
BF520401,0.9307796894457292,1.0
BF520402,0.9975885384651755,1.0
BF520403,0.990877580544705,1.0
BF520501,0.9975174170233149,1.0
BF520502,0.9966058040750317,1.0
BF520503,0.9966044304098463,1.0
BF520504,0.9920179038915635,1.0
BF520505,0.9386974371734261,1.0
BF520506,0.9980536228179189,1.0
BF520507,0.9840553393860788,1.0
BF520508,0.9891415945532913,1.0
BF530101,0.9711887505809356,1.0
BF530102,0.8893680238749458,1.0
BF530103,0.9703490595845875,1.0
BF530104,0.9547222074255579,1.0
BF530105,0.9836453093647783,1.0
BF530106,0.9751349031150355,1.0
BF530107,0.9893168147948649,1.0
BF530108,0.9867543476905816,1.0
BF530109,0.99186281017053,1.0
BF530110,0.9882577860006166,1.0
BF530111,0.9968189317224238,1.0
BF530112,1.0,1.0
BF530113,0.9718468946657721,1.0
BF530201,0.944932901434521,1.0
BF530202,0.9958462628582598,1.0
BF530203,0.986673833680486,1.0
BF530204,1.0,1.0
BF530205,0.9946669455191886,1.0
BF530206,0.9958298373260869,1.0
BF530207,0.9726670545941508,1.0
BF530208,0.9966135757983551,1.0
BF530209,0.9926826818688335,1.0
BF530210,0.9725306450849543,1.0
BF530212,0.9859209363957597,1.0
BF530211,1.0,1.0
BF530213,0.9904092071611255,1.0
BF530301,1.0,1.0
BF530302,0.9831922803132168,1.0
BF530303,0.968781129014038,1.0
BF530304,0.975760092456861,1.0
BF530305,0.9727653104817432,1.0
BF530306,0.9929712178260941,1.0
BF530307,0.9861330936796102,1.0
BF540101,0.9869182970700833,1.0
BF540102,0.9952604579698652,1.0
