ADM3_PCODE,volume_batis_m3
BF540209,2559.0
BF540210,202944.0
BF540301,305.0
BF540302,0.0
BF540303,4530.0
BF540304,15414.0
BF540305,148.0
BF540306,45575.0
BF540307,373362.8784313726
BF540308,3820.913725490196
BF540309,45.0
BF540310,22972.0
BF540311,0.0
BF540312,9042.0
BF540313,1443.0
BF540401,5329.0
BF540402,5020.0
BF540403,149763.0
BF540404,0.0
BF540405,0.0
BF550101,27673.129411764705
BF550102,3530.0
BF550103,1180.0
BF550104,51976.0
BF550105,2533.0
BF550106,7751.0
BF550107,103126.38823529411
BF550108,12138.0
BF550201,50994.0
BF550202,30649.0
BF550203,0.0
BF550204,10860.0
BF550205,318.0
BF550301,0.0
BF550302,25423.0
BF550303,42351.0
BF550304,6498.0
BF550305,1708.0
BF550306,133818.0
BF550307,4690.0
BF560101,12438.0
BF560102,90622.0
BF560103,0.0
BF560104,0.0
BF560105,0.0
BF560201,9148.0
BF560202,127733.0
BF560203,17555.0
BF560204,0.0
BF560205,0.0
BF560206,12990.0
BF560301,0.0
BF560302,0.0
BF560303,0.0
BF560304,147516.0
BF560305,3098.0
BF560306,1758.0
BF560307,1490.0
BF560308,368.0
BF560309,3378.0
BF560401,0.0
BF560402,695.0
BF560403,385.0
BF560404,17429.0
BF560405,0.0
BF560406,0.0
BF570102,126498.0
BF570103,3147.0
BF570101,7959.0
BF570104,0.0
BF570105,0.0
BF570201,64206.86274509804
BF570202,38705.0
BF570203,4250.568627450981
BF570204,613.0
BF570205,315.0
BF570206,3043.0
BF570207,16266.0
BF570208,2736.0
BF570301,61073.0
BF570302,0.0
BF570303,615.0
BF570304,5801.0
BF570305,0.0
BF570401,2108.0
BF570402,0.0
BF570403,0.0
BF570404,141076.0
BF570405,0.0
BF570406,49906.0
BF570407,15448.0
BF570408,0.0
BF570409,890.0
BF570410,0.0
