ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
BF510305,0.22224916517734528,0.2987096905708313,0.2573658080995577,0.25959739089012146,0.017937688143884065,0.0014411042211577296,0.0032714472617954016,0.00251213065205646,0.0026048114523291597,5.108917776315694E-4
BF510306,0.21844688057899475,0.2841169238090515,0.24764049621894416,0.24734438526087116,0.016673947371285195,0.0021510019432753325,0.003281358163803816,0.002921730789903268,0.00298323854804039,2.778014836547927E-4
BF510307,0.21316005289554596,0.32274138927459717,0.25576899650351215,0.25453454491162464,0.02116834976355187,9.561956394463778E-4,0.0030531026422977448,0.0020591848707320376,0.002211076905950904,5.333498348674802E-4
BF520101,0.2324368953704834,0.4525957405567169,0.3439261029080029,0.3512414140518786,0.05288789117287779,0.0010152001632377505,0.005171187222003937,0.0024139884570625156,0.001973471035146051,0.0012512037639492027
BF520102,0.27413517236709595,0.43848031759262085,0.360072210336155,0.35653463691872356,0.03135319303488624,0.001030640210956335,0.002600745763629675,0.0015391057486280548,0.0015364006075667402,2.2716113321509697E-4
BF520103,0.28207385540008545,0.4231667220592499,0.34791039373163696,0.34549614787101746,0.028003567561241886,0.0012451218208298087,0.0036427448503673077,0.0017159907462503262,0.001659426275167431,3.391623840187018E-4
BF520104,0.30453911423683167,0.43848031759262085,0.36625422643033345,0.370465487241745,0.029091380103737855,9.653270244598389E-4,0.0036427448503673077,0.001213496138473688,0.001185811755149724,2.9210043305768097E-4
BF520105,0.2617601156234741,0.39945170283317566,0.3418153414703131,0.34649984118689653,0.034861969057701885,0.0012780934339389205,0.0024946376215666533,0.0015572652366258215,0.0015503321730260282,1.7898662924501795E-4
BF520106,0.22303630411624908,0.434413880109787,0.32898754801678454,0.3307976722717284,0.04932972155269144,0.0010152001632377505,0.0024769504088908434,0.0015487352226268103,0.0014922169502824545,2.90161653233685E-4
BF520107,0.2963230311870575,0.3582756221294403,0.31829269432173113,0.31426531076431274,0.014438717926328552,0.0014053573831915855,0.0019530599238350987,0.0015539003059124124,0.0015580857871100307,7.454848825599456E-5
BF520201,0.210654616355896,0.2861727476119995,0.25378685383634336,0.25355362867414066,0.015105240566748206,0.002925512846559286,0.004472773056477308,0.003926989230520007,0.004010129926933182,2.759100145512122E-4
BF520202,0.23321844637393951,0.3346070349216461,0.28169601424732355,0.2795012985822801,0.019552021095983283,0.003593976842239499,0.005327112507075071,0.004648954873604928,0.004654889926314354,3.3828498756355996E-4
BF520203,0.1805623173713684,0.4336400628089905,0.32084262068123415,0.3236023159970641,0.04079997910893939,9.006411419250071E-4,0.005464349873363972,0.004270728561982104,0.004540545111621444,9.1256921323301E-4
BF520204,0.35654616355895996,0.49510467052459717,0.42489906607171246,0.42240816480585597,0.028014707554846124,0.0010997235076501966,0.004871299024671316,0.0029214681287684594,0.0031335606472566724,0.0011989777464754346
BF520205,0.23841363191604614,0.3699491322040558,0.3156222051142389,0.3144795894622803,0.02821210902669859,0.0025787295307964087,0.00521066365763545,0.00393934073519397,0.003816653974354267,7.347660089670608E-4
BF520206,0.24531105160713196,0.4223001301288605,0.35260682407624394,0.35897598995102775,0.035283338096565205,0.0018401122651994228,0.005517369136214256,0.004557263092524502,0.0045547943654251685,5.94572254893233E-4
BF520301,0.33481931686401367,0.4726608097553253,0.3947987296629556,0.3922069781261128,0.024185266470493235,9.678634232841432E-4,0.003394089173525572,0.0013822348274666336,0.001243075095164092,4.5644773891189946E-4
BF520302,0.32713261246681213,0.4726608097553253,0.38727248181069623,0.3869572579860687,0.02771486718066504,8.666132343932986E-4,0.003497480880469084,0.0014102270871683413,0.0011370912986953783,5.984591199915495E-4
BF520303,0.3110617399215698,0.4900205433368683,0.41191133992347334,0.4155381917953491,0.02993442431768129,0.0010810078820213675,0.004699504468590021,0.0022940876215007933,0.001840708513807593,0.0010289884466218916
BF520401,0.2193371206521988,0.4121377170085907,0.3220179000713306,0.3322097361087799,0.048779301854517454,8.783717057667673E-4,0.00440429849550128,0.0031376889954075012,0.003505276283249259,9.81466454289952E-4
BF520402,0.3558202087879181,0.5045972466468811,0.41319144665943575,0.4144049307416538,0.026966918910247915,7.054503075778484E-4,0.003882558783516288,0.0020760357959949865,0.0019486835226416588,7.302462369014525E-4
BF520403,0.2379591166973114,0.4657922685146332,0.3838045741294921,0.39181365265745755,0.04153301035477842,5.569536006078124E-4,0.00454659154638648,0.0019796169571397776,0.0017557471657970122,7.184566959417681E-4
BF520501,0.30048754811286926,0.47859272360801697,0.439366721677104,0.440764844417572,0.025559047144706443,0.0,0.0039637451991438866,0.0026732063590157026,0.0027063276766884055,8.365794942945752E-4
