GID_3,young,elderly,working,dependency_ratio
BEN.5.3.6_1,3324.845163050733,235.49110680217447,4055.393238557402,0.8779262725997447
BEN.5.3.7_1,4406.95987167627,312.1866308347244,5372.37606366337,0.8784095615400862
BEN.5.3.8_1,1824.5151493302526,129.2261956936223,2225.404803866013,0.8779262728424961
BEN.5.3.9_1,10030.22847637134,714.9336896265811,12306.522729269918,0.8731273977531894
BEN.5.3.10_1,3218.3031285004417,227.94498041638525,3925.4413683290686,0.8779262726279826
BEN.5.4.1_1,10294.184685419497,645.4989460694555,12641.466515354388,0.8653808969237516
BEN.5.4.2_1,10687.387903631236,669.5670885042591,13116.484427601272,0.8658535795031201
BEN.5.4.3_1,9250.214409399836,579.3408413807483,11351.985946560053,0.8658886028447907
BEN.5.4.4_1,4318.249033065981,270.4551479879608,5299.802830964205,0.8658254518912185
BEN.5.4.5_1,8481.090933727717,531.2493480086737,10409.645347901333,0.8657682351832813
BEN.5.4.6_1,1688.4743048403739,105.75040117062736,2072.2706885998127,0.8658254521870977
BEN.5.4.7_1,1075.5405841234851,67.36190654328412,1320.0148917707063,0.8658254522671684
BEN.5.4.8_1,3823.399627877176,239.46236173230187,4692.472345508486,0.8658254520132325
BEN.5.4.9_1,16525.33537163314,1034.9481412288335,20280.86632557561,0.8658547041808174
BEN.5.5.1_1,8379.579863222141,608.2130682762698,9510.457604552988,0.9450431625073056
BEN.5.5.2_1,10282.912402040674,744.2537601183399,11648.861482173235,0.9466303792035273
BEN.5.5.3_1,3596.7263084653364,262.05669915262183,4094.2437186776406,0.9424898156439667
BEN.5.5.4_1,4789.381632038546,345.72844334117275,5440.831868344744,0.9438097334446699
BEN.5.5.5_1,4658.540289579829,336.15538926309245,5335.376317313279,0.9361468398461698
BEN.5.5.6_1,1181.867909843606,85.44184759014959,1340.4766517655473,0.9454172556937688
BEN.5.5.7_1,5162.07476206265,375.0384895316572,5863.599889832144,0.9443197618575603
BEN.5.5.8_1,1478.9625500669795,107.10754411165175,1683.7114394809416,0.9420082663734758
BEN.5.5.9_1,4311.205688210257,310.7670831111012,4904.991597680848,0.9422998346228961
BEN.5.5.10_1,5085.690233614979,368.1190174098593,5760.793622282942,0.946711444397057
BEN.5.5.11_1,4848.207541311969,350.9292375476061,5491.7861279440785,0.9467114446435917
BEN.5.5.12_1,5674.610325791547,410.74699419169394,6427.890308602228,0.9467114446305056
BEN.5.5.13_1,2644.7661105071065,191.4368859953621,2995.8473744322046,0.946711444884607
BEN.5.5.14_1,7988.5590925292045,578.053622789566,9052.012878981734,0.9463765495970475
BEN.5.6.1_1,955.9900625010696,76.05698526714944,1299.8836969950637,0.7939533745626616
BEN.5.6.2_1,6429.7336960961975,511.55617071070066,8733.648286841122,0.7947755209315278
BEN.5.6.3_1,954.0931655900606,75.9060712784417,1297.304438682317,0.7939533745176123
BEN.5.6.4_1,6939.850671953665,539.9939192828937,9341.497328360781,0.8007115271047345
BEN.5.6.5_1,7645.895107416443,599.3292293154653,10285.389184630665,0.8016443703513572
BEN.5.6.6_1,4328.91581216925,344.72046086941725,5887.783626973617,0.7937853306339937
BEN.5.6.7_1,1180.3099174158906,93.90350123325214,1604.8970381807517,0.7939533741638287
BEN.5.6.8_1,7741.89045114832,615.5758820871569,10515.393462720744,0.7947839862449686
BEN.6.1.1_1,7020.525361064801,438.99279441150634,8332.804969437717,0.8951989375529165
BEN.6.1.2_1,25090.104820196844,1563.0657523707769,29772.414742047287,0.8952303937552506
BEN.6.1.3_1,27676.17821635863,1650.4267556285677,32045.911968016986,0.9151434042899524
BEN.6.1.4_1,17117.4150470424,1066.8843995505645,20306.62858292987,0.8954858937972118
BEN.6.2.1_1,3605.8735255471083,320.5792185573538,4231.779643937592,0.9278490551202169
BEN.6.2.2_1,11080.15034844079,989.2227409200608,12968.63228673897,0.9306589023811205
BEN.6.2.3_1,7551.360084955104,627.2280851170059,8826.461602826454,0.9265987366277243
BEN.6.2.4_1,9343.002722489739,840.2534161363616,10936.964849820735,0.9310861174426296
BEN.6.5.1_1,6066.894061148869,430.5164783762836,7072.664091220087,0.9186652237013423
BEN.6.5.2_1,21801.761348917207,1547.0877556749597,25416.058538118446,0.918665223782597
BEN.6.5.3_1,3221.0214612884574,228.5688198924608,3755.0025750037157,0.9186652238653937
BEN.6.5.4_1,5534.1807780613235,391.2678446144097,6455.097322925023,0.9179487661063973
BEN.6.5.5_1,19591.80719414255,1390.2795676229427,22839.696708322117,0.9186674862508238
BEN.6.5.6_1,12920.845854122075,915.4511614236051,15056.787185826082,0.9189408633317653
BEN.6.5.7_1,16950.54984370747,1200.4286652020126,19756.074718000586,0.918754295476083
BEN.6.5.8_1,10217.270768046506,725.0284607958449,11911.103315978246,0.9186637827382218
