GID_3,primary_school_age_girl_BEN_2020,secondary_school_age_girl_BEN_2020
BEN.2.1.6_1,915.9215873531266,735.2362815501641
BEN.2.1.7_1,819.9019804440292,658.6547164486904
BEN.2.1.8_1,545.0128063108408,444.65193869459875
BEN.2.2.1_1,2873.6884664385925,2030.6532559899724
BEN.2.2.2_1,1561.0940679503422,1096.9635456711642
BEN.2.2.3_1,996.2507442820307,707.447350319694
BEN.2.2.4_1,1121.8319281334964,786.9215843051086
BEN.2.3.1_1,2001.418356944533,1536.5199285009323
BEN.2.3.2_1,2412.5293372109827,1853.2326794799633
BEN.2.3.3_1,2946.3715428674923,2263.9268360165984
BEN.2.3.4_1,2766.4047914341404,2119.9627377561487
BEN.2.4.1_1,1620.8747631919152,1304.17909068921
BEN.2.4.2_1,908.7915658950806,724.2777501919691
BEN.2.4.3_1,1168.0544748324976,941.8069742380405
BEN.2.4.4_1,3526.757467980248,2817.1215652685546
BEN.2.4.5_1,2051.5973964162904,1653.8664211390073
BEN.2.4.6_1,2133.0527703481575,1730.273409480675
BEN.2.5.1_1,1882.1974133725264,1592.6267902028328
BEN.2.5.2_1,2905.969253479266,2435.7724193956337
BEN.2.5.3_1,3208.525449498961,2711.408673847424
BEN.2.5.4_1,1033.2372238855735,826.4607729411592
BEN.2.5.5_1,2017.5775249906615,1707.473596627105
BEN.2.5.6_1,1414.4737418623529,1160.2625319060155
BEN.2.6.1_1,1524.5304681619007,1433.9415303295734
BEN.2.6.2_1,1031.4713447215508,955.3931093178549
BEN.2.6.3_1,508.7039392013176,466.49234842412625
BEN.2.6.4_1,285.1629268908033,270.4636535607132
BEN.2.6.5_1,833.6923024074705,790.7180111333435
BEN.2.6.6_1,1862.7174307243497,1766.7000311028723
BEN.2.6.7_1,1305.3448648200322,1232.1729956337056
BEN.2.6.8_1,1172.8987982235703,1084.094889541701
BEN.2.7.1_1,1446.4789220534126,1099.150271128673
BEN.2.7.2_1,3970.0564496040324,3041.787096743958
BEN.2.7.3_1,2079.1706040452505,1581.930915716114
BEN.2.8.1_1,675.4631001411697,522.0201267784714
BEN.2.8.2_1,496.0772327268824,385.242132651572
BEN.2.8.3_1,666.6939294871163,520.9936682271024
BEN.2.8.4_1,1564.2697451787833,1236.0646893368048
BEN.2.8.5_1,4974.40031527584,3946.1577328310273
BEN.2.9.1_1,5354.376353705164,3975.640762517965
BEN.2.9.2_1,1623.068727333405,1261.6984628752164
BEN.2.9.3_1,3469.570794921762,2532.7561032108233
BEN.3.1.1_1,9648.78546190449,9411.682210391173
BEN.3.1.2_1,10031.40119396752,9830.649184440163
BEN.3.1.3_1,22682.291333529527,22303.39585669742
BEN.3.1.4_1,2518.9473350842795,2449.2436334198605
BEN.3.1.5_1,4646.498035071878,4546.496489655738
BEN.3.1.6_1,1254.1562165241617,1192.1346312317191
BEN.3.1.7_1,2683.0521512424243,2626.269201862111
BEN.3.1.8_1,5457.972186743044,5349.296753670186
BEN.3.1.9_1,2586.809038498823,2530.88671876496
BEN.3.2.1_1,911.2341357848222,846.2934285444372
BEN.3.2.2_1,727.4656328911877,675.4301148769902
BEN.3.2.3_1,2330.6182591830993,2164.5226360545435
BEN.3.2.4_1,537.122927946203,500.3724447773952
BEN.3.2.5_1,367.46663475784607,334.9119203492707
BEN.3.2.6_1,469.4166887844311,439.1628825599072
BEN.3.2.7_1,236.81405630111698,228.34348201564714
BEN.3.2.8_1,1739.7246171427712,1609.580824204987
BEN.3.2.9_1,191.0713413836909,179.65683039870916
BEN.3.2.10_1,1399.1654783884683,1284.4883745006487
BEN.3.2.11_1,1623.356383275051,1506.8916090460386
BEN.3.2.12_1,388.6991316084769,355.227263620788
BEN.3.3.1_1,417.0153374690636,393.7783625023038
BEN.3.3.2_1,517.4582950610741,517.7002216166142
BEN.3.3.3_1,2097.488316715465,1968.9643617704808
BEN.3.3.4_1,546.134079656414,501.8966290904027
BEN.3.3.5_1,917.6130581724874,851.8630428463805
BEN.3.3.6_1,1099.3032520855174,1030.7506982803345
BEN.3.3.7_1,221.3431637932273,208.88602113910747
BEN.3.3.8_1,382.11555173350325,369.0600518053653
BEN.3.3.9_1,506.61843020261506,475.7609730210959
BEN.3.4.1_1,600.8592627731023,542.2525651221182
BEN.3.4.2_1,782.895958881752,706.4786616456274
BEN.3.4.3_1,1399.0329869139425,1253.720431436277
BEN.3.4.4_1,797.6700958700743,714.8189813950484
BEN.3.4.5_1,1440.5822048075058,1316.6879811978808
BEN.3.4.6_1,1227.4498978334314,1102.8162256203448
BEN.3.4.7_1,1834.8603549583288,1644.4921434271569
BEN.3.4.8_1,733.8626404070385,675.5940356273277
BEN.3.4.9_1,5400.83216005961,4933.500456839917
BEN.3.4.10_1,3070.767116426954,2755.2181494525835
BEN.3.5.1_1,2195.4868411195043,1958.1054175582592
BEN.3.5.2_1,624.305119233973,562.7514535436443
BEN.3.5.3_1,13.71791047114952,11.9605627190833
BEN.3.5.4_1,609.0243058541241,572.738543812434
BEN.3.5.5_1,1168.9263805581074,1032.801343096705
BEN.3.5.6_1,1301.864598053577,1162.582600672105
BEN.3.5.7_1,191.8942928576002,168.6680726780611
BEN.3.6.1_1,172.76890883165248,166.60652350818413
BEN.3.6.2_1,430.8998816190982,420.71250703101066
BEN.3.6.3_1,934.6609532487163,911.9252378856434
BEN.3.6.4_1,297.498961278504,288.8555876675775
BEN.3.6.5_1,689.0318138739643,672.7416597833824
BEN.3.6.6_1,667.582008260839,646.1802031694674
BEN.3.6.7_1,401.8152890411079,368.4799816019397
BEN.3.6.8_1,223.28553327485628,218.00553820366952
BEN.3.6.9_1,751.9267410914103,722.976127237432
BEN.3.6.10_1,341.8189458379558,326.36567527920585
BEN.3.7.1_1,312.1660347358853,280.38147104113705
BEN.3.7.2_1,287.6809477207708,262.41806008208033
BEN.3.7.3_1,620.5892204228569,564.8780654626735
BEN.3.7.4_1,1084.7048712618212,974.9072869562635
BEN.3.7.5_1,713.8416854185216,646.6728068258248
BEN.3.7.6_1,655.5813448195364,595.4356884769365
BEN.3.8.1_1,733.5962110893399,660.2811132169237
BEN.3.8.2_1,417.83810894536026,376.93216598735137
BEN.3.8.3_1,1330.072650180143,1225.8759386417914
BEN.3.8.4_1,1077.6513462066655,970.6403192931533
BEN.3.8.5_1,500.7211519877116,450.6980660045849
BEN.3.8.6_1,660.834886872535,604.756728731417
BEN.3.8.7_1,695.3758909113265,626.1894222035129
BEN.3.8.8_1,1053.9816052081537,951.3274035752988
BEN.3.8.9_1,1743.0736489090268,1574.0963109222116
