GID_3,NTL_mean,NTL_min,NTL_max,NTL_median,NTL_stdDev
BEN.1.3.3_1,0.2819501422332986,0.22083333134651184,0.6700000166893005,0.27618436094614757,0.03531194164021502
BEN.1.3.4_1,0.3144013559701863,0.21666666865348816,3.547499895095825,0.2885265967310734,0.2160067803351331
BEN.1.3.5_1,1.1145890594280858,0.3075000047683716,12.271666526794434,0.4706319885758396,1.5911447055761012
BEN.1.3.6_1,0.5935120423196347,0.2708333432674408,12.271666526794434,0.4011370562300046,0.8764472494045957
BEN.1.3.7_1,0.31194060095721127,0.23416666686534882,0.9749999642372131,0.29869864076856556,0.06210443351438635
BEN.1.3.8_1,0.3099138012013368,0.23666666448116302,1.5483334064483643,0.29286078350067557,0.09341493726544797
BEN.1.3.9_1,0.25943247356928045,0.20416666567325592,0.4116666615009308,0.25833332538604736,0.01890631302192389
BEN.1.3.10_1,0.2734247308610718,0.21250000596046448,0.7008333206176758,0.2686850660775513,0.03747552360357542
BEN.1.4.1_1,0.2637292465033893,0.20333333313465118,0.4633333384990692,0.26075301566672837,0.024852359414409424
BEN.1.4.2_1,0.3912729605522673,0.21583333611488342,13.081665992736816,0.27665461913925254,1.0323905923820442
BEN.1.4.3_1,0.40179035405376506,0.1966666728258133,18.640832901000977,0.2898532785495734,0.512118874944597
BEN.1.4.4_1,0.32467831047529394,0.2058333307504654,7.872499942779541,0.26671658444302676,0.3101392243368292
BEN.1.4.5_1,0.3531592979683918,0.20999999344348907,9.233333587646484,0.27546165584513016,0.40069573896392363
