GID_3,volume_batis_m3
BEN.8.1.13_1,2.2207745898039214E7
BEN.9.1.1_1,1497288.5254901962
BEN.9.1.2_1,2264417.7882352946
BEN.9.1.3_1,505853.05882352946
BEN.9.1.4_1,1222163.5568627452
BEN.9.2.1_1,932574.6470588235
BEN.9.2.2_1,679614.4274509804
BEN.9.2.3_1,3736845.023529411
BEN.9.2.4_1,528285.2156862745
BEN.9.2.5_1,1.2462042882352943E7
BEN.9.2.6_1,3366413.992156863
BEN.9.2.7_1,594187.2000000001
BEN.9.3.1_1,3447859.0274509806
BEN.9.3.2_1,2867536.439215684
BEN.9.3.3_1,1.4691069525490204E7
BEN.9.3.4_1,3054324.043137255
BEN.9.3.5_1,9043795.792156864
BEN.9.4.1_1,937609.3921568628
BEN.9.4.2_1,5267069.9215686275
BEN.9.4.3_1,1061449.3882352947
BEN.9.4.4_1,467400.1764705882
BEN.9.4.5_1,1450722.8901960782
BEN.9.4.6_1,4048258.22745098
BEN.9.4.7_1,296959.0705882353
BEN.9.5.1_1,1566426.4901960779
BEN.9.5.2_1,8805941.64705882
BEN.9.5.3_1,3418614.752941174
BEN.9.5.4_1,2367819.7803921574
BEN.9.5.5_1,7360833.462745096
BEN.9.5.6_1,1382143.2156862745
BEN.9.7.1_1,2363367.6823529396
BEN.9.7.2_1,2712678.262745098
BEN.9.7.3_1,1428377.7843137253
BEN.9.7.4_1,841061.9490196076
BEN.9.7.5_1,1944623.2470588223
BEN.9.7.6_1,2.5660397925490193E7
BEN.10.1.1_1,9798183.172549022
BEN.10.1.2_1,1.0690301733333329E7
BEN.10.1.3_1,8758529.274509804
BEN.10.1.4_1,2.8972349486274507E7
BEN.10.1.5_1,2.014552963529411E7
BEN.10.1.6_1,7695415.372549016
BEN.10.2.1_1,4935844.57254902
BEN.10.2.2_1,1558812.996078431
BEN.10.2.3_1,820332.0666666668
BEN.10.2.4_1,8446782.133333333
BEN.10.2.5_1,1590773.3411764705
BEN.10.2.6_1,1160582.8
BEN.10.2.7_1,1216149.807843137
BEN.10.2.8_1,245554.3450980393
BEN.10.3.1_1,1793662.3725490198
BEN.10.3.2_1,780354.223529412
BEN.10.3.3_1,1612718.1764705887
BEN.10.4.1_1,2.873562589411765E7
BEN.10.4.2_1,8408201.560784314
BEN.10.4.3_1,4183066.8196078413
BEN.10.4.4_1,1.811166665882353E7
BEN.10.4.5_1,2838647.690196079
BEN.10.5.1_1,3.484588064313722E7
BEN.10.5.2_1,1.070292342352941E7
BEN.10.5.3_1,5442596.50980392
BEN.10.5.4_1,2454970.525490196
BEN.10.5.5_1,3843687.878431373
BEN.10.5.6_1,1.1056464458823532E7
BEN.10.5.7_1,1047936.1333333335
BEN.10.6.1_1,2734443.713725491
BEN.10.6.2_1,1395987.0745098041
BEN.10.6.3_1,4507903.678431372
BEN.10.6.4_1,1050810.0078431375
BEN.10.6.5_1,1521282.0588235299
BEN.10.7.1_1,7131666.996078435
BEN.10.7.2_1,1703340.431372549
BEN.10.7.3_1,3332656.4588235295
BEN.10.7.4_1,1212332.2039215686
BEN.10.7.5_1,1408637.6039215685
BEN.10.7.6_1,1965117.2901960786
BEN.10.7.7_1,2381769.8235294125
BEN.10.8.1_1,2.1053437301960763E7
BEN.10.8.2_1,7657915.466666666
BEN.10.8.3_1,5356745.498039218
BEN.10.8.4_1,3.67126512235294E7
BEN.10.8.5_1,4.218648740392158E7
BEN.10.9.1_1,3.364228683921567E7
BEN.10.9.2_1,4147629.3568627452
BEN.10.9.3_1,1.236457699607843E7
BEN.10.9.4_1,5.298139948235295E7
BEN.10.9.5_1,2.0300868858823523E7
BEN.10.9.6_1,2.3026421133333325E7
BEN.11.1.1_1,3612729.964705883
BEN.11.1.2_1,9857182.247058826
BEN.11.1.3_1,437797.6235294119
BEN.11.1.4_1,1499033.6627450981
BEN.11.1.5_1,5845430.125490196
BEN.11.1.6_1,3008285.137254903
BEN.11.2.1_1,8294023.945098039
BEN.11.2.2_1,2655772.3764705886
BEN.11.2.3_1,1.87812778039216E7
BEN.11.2.4_1,1742299.5921568624
BEN.11.2.5_1,2277639.3176470594
BEN.11.2.6_1,4057214.1725490172
BEN.11.3.1_1,4468225.674509805
BEN.11.3.2_1,1.1989433196078433E7
BEN.11.3.3_1,2.568701835294117E7
BEN.11.3.4_1,7763346.525490194
BEN.11.3.5_1,5533447.462745102
BEN.11.3.6_1,973403.3960784316
BEN.11.4.1_1,1488392.6156862748
BEN.11.4.2_1,1449762.4941176467
BEN.11.4.3_1,2549758.384313726
BEN.11.4.4_1,2.1484938670588236E7
BEN.11.4.5_1,2687364.470588235
BEN.11.5.1_1,4119322.384313727
BEN.11.5.2_1,5023963.231372552
BEN.11.5.3_1,9205707.913725488
BEN.11.5.4_1,3879384.1098039215
BEN.11.5.5_1,4940289.866666668
BEN.11.5.6_1,4333526.023529411
BEN.12.1.1_1,7097603.450980392
BEN.12.1.2_1,1783456.882352941
BEN.12.1.3_1,3.2202103078431375E7
BEN.12.1.4_1,1.0304532329411767E7
BEN.12.1.5_1,3133080.5686274506
BEN.12.1.6_1,1.5362148164705884E7
BEN.12.1.7_1,6241584.580392158
BEN.12.2.1_1,2440121.0352941174
BEN.12.2.2_1,2125521.5999999996
BEN.12.2.3_1,2996994.9215686275
BEN.12.2.4_1,2738867.929411765
BEN.12.2.5_1,2789293.2156862747
BEN.12.2.6_1,1876727.1137254897
BEN.12.2.7_1,803414.0470588236
BEN.12.2.8_1,2698772.8352941186
BEN.12.2.9_1,4300766.54509804
BEN.12.2.10_1,161868.7411764706
BEN.12.3.1_1,2.2792342447058827E7
BEN.12.3.2_1,7669896.952941175
BEN.12.3.3_1,5001429.345098037
BEN.12.3.4_1,5071384.729411769
BEN.12.3.5_1,1.9532601098039217E7
BEN.12.3.6_1,5211215.647058826
BEN.12.3.7_1,6619866.529411764
BEN.12.3.8_1,1.7078476831372555E7
BEN.12.3.9_1,3820669.5568627473
BEN.12.3.10_1,3896981.4784313724
BEN.12.4.1_1,3904085.3254901953
BEN.12.4.2_1,54787.19215686275
BEN.12.4.3_1,1797189.6235294114
BEN.12.4.4_1,3602800.2941176468
BEN.12.4.5_1,985961.062745098
BEN.12.4.6_1,2729376.7607843145
BEN.12.4.7_1,2637317.333333333
BEN.12.4.8_1,2995776.7607843117
BEN.12.5.1_1,901024.8078431371
BEN.12.5.2_1,2878748.988235294
BEN.12.5.3_1,3308480.172549019
BEN.12.5.4_1,7140865.964705883
BEN.12.5.5_1,1537843.694117647
BEN.12.5.6_1,370878.7764705883
BEN.12.5.7_1,3372457.4039215688
BEN.12.5.8_1,1931012.8000000005
BEN.12.5.9_1,2672413.878431373
BEN.12.5.10_1,211914.60784313732
BEN.12.5.11_1,4680721.850980393
BEN.12.5.12_1,461829.9882352941
BEN.12.6.1_1,2123807.3254901962
BEN.12.6.2_1,2717752.215686274
BEN.12.6.3_1,678053.9568627451
BEN.12.6.4_1,2611564.960784314
BEN.12.7.1_1,2040498.9098039211
BEN.12.7.2_1,4130978.5019607833
BEN.12.7.3_1,3409761.1019607843
BEN.12.7.4_1,5896455.803921568
BEN.12.7.5_1,3731342.756862745
BEN.12.7.6_1,6454621.447058826
BEN.12.7.7_1,7056579.556862742
BEN.12.7.8_1,3625998.56862745
BEN.12.8.1_1,1391352.3843137256
BEN.12.8.2_1,2589436.956862745
BEN.12.8.3_1,1088373.4901960786
BEN.12.8.4_1,1417841.4352941175
BEN.12.8.5_1,1515921.1725490196
BEN.12.8.6_1,3597518.2862745095
BEN.12.9.1_1,2954287.898039216
BEN.12.9.2_1,1839997.454901961
BEN.12.9.3_1,2527090.011764707
BEN.12.9.4_1,1946074.6980392155
BEN.12.9.5_1,1503617.3960784313
BEN.12.9.6_1,1013482.0235294119
BEN.12.9.7_1,653077.4313725489
BEN.12.9.8_1,2943093.235294118
BEN.12.9.9_1,1661527.1372549017
BEN.12.9.10_1,5399790.882352942
BEN.12.9.11_1,1779529.48627451
