GID_3,population_density_BEN_2020
BEN.7.4.6_1,536.2428174539497
BEN.7.4.7_1,220.46866944488806
BEN.7.4.8_1,484.69103825799453
BEN.7.5.1_1,207.0547545526424
BEN.7.5.2_1,152.96183734774607
BEN.7.5.3_1,304.96684837084325
BEN.7.5.4_1,630.7306328306806
BEN.7.5.5_1,388.42198047677107
BEN.7.5.6_1,523.4340104891437
BEN.7.5.7_1,751.0048691885812
BEN.7.5.8_1,393.11046280955543
BEN.7.5.9_1,181.75981006126804
BEN.7.5.10_1,172.89962106998274
BEN.7.5.11_1,329.6365777576353
BEN.7.6.1_1,938.3774592484394
BEN.7.6.2_1,636.3744546427871
BEN.7.6.3_1,1021.4900105955868
BEN.7.6.4_1,658.9868199696798
BEN.7.6.5_1,538.9721435516749
BEN.7.6.6_1,866.3246810945345
BEN.7.6.7_1,752.4020821953898
BEN.8.1.1_1,7980.407067353909
BEN.8.1.2_1,13082.863986545139
BEN.8.1.3_1,16948.63309151786
BEN.8.1.4_1,14826.140626091132
BEN.8.1.5_1,10783.711837624409
BEN.8.1.6_1,6012.995899350175
BEN.8.1.7_1,7973.738121484455
BEN.8.1.8_1,15181.792244529232
BEN.8.1.9_1,16333.23829874067
BEN.8.1.10_1,6756.459534931652
BEN.8.1.11_1,18623.488116197183
BEN.8.1.12_1,15549.024732154434
BEN.8.1.13_1,4644.437746208872
BEN.9.1.1_1,208.93699026160797
BEN.9.1.2_1,383.26235402507365
BEN.9.1.3_1,242.38519409838494
BEN.9.1.4_1,338.99777851532593
BEN.9.2.1_1,230.22260645990232
BEN.9.2.2_1,159.64832551974732
BEN.9.2.3_1,495.23240191923986
BEN.9.2.4_1,204.59851047686192
BEN.9.2.5_1,419.0772390302095
BEN.9.2.6_1,543.5800708680398
BEN.9.2.7_1,174.24739882550674
BEN.9.3.1_1,563.5639229624546
BEN.9.3.2_1,477.1152914051048
BEN.9.3.3_1,742.6515312480163
BEN.9.3.4_1,497.57175980627784
BEN.9.3.5_1,499.8933724509923
BEN.9.4.1_1,238.0169325516959
BEN.9.4.2_1,715.1397547996347
BEN.9.4.3_1,324.0117154872016
BEN.9.4.4_1,162.0486300347377
BEN.9.4.5_1,395.3422227683502
BEN.9.4.6_1,390.6609257481462
BEN.9.4.7_1,225.50327572903154
BEN.9.5.1_1,511.1113309466822
BEN.9.5.2_1,408.7130898972657
BEN.9.5.3_1,355.47971691328223
BEN.9.5.4_1,308.9196169056005
BEN.9.5.5_1,415.77478350274276
BEN.9.5.6_1,618.4372445146242
BEN.9.7.1_1,277.6713422681907
BEN.9.7.2_1,423.3498729668137
BEN.9.7.3_1,387.93071970934113
BEN.9.7.4_1,254.6004123443377
