ADM2_PCODE,population_TGO_2020
TG0401,108949.7569648892
TG0401,905999.9667016257
TG0401,1711020.2730938492
TG0401,456244.8950886142
TG0401,819731.3751242704
TG0402,677666.1054958429
TG0402,414660.54739074694
TG0402,1909802.9891913992
TG0402,624607.1608244804
TG0402,2329423.801110805
TG0402,734513.8307385537
TG0402,1021341.8374906946
TG0402,672277.0748327668
TG0402,486930.5754983706
TG0403,288835.9502297048
TG0403,788013.1724106879
TG0403,1004624.6189420959
TG0403,198761.44429811963
TG0403,484577.084745766
TG0403,214996.72399588203
TG0403,869743.8916380036
TG0403,370957.2811808417
TG0403,884369.4511815688
TG0403,768903.2826834291
TG0403,1515392.922320757
TG0404,249115.98607692352
TG0404,752841.0561326565
TG0404,334198.4559143965
TG0404,1586811.3390143532
TG0404,253572.6940513462
TG0405,3012185.290484535
TG0405,1680078.9172130367
TG0405,969692.3116982409
TG0405,3886762.3182391445
TG0405,1431015.8198718426
TG0405,4255201.131348151
TG0405,1578357.9410515635
TG0406,5102764.295462835
TG0406,2341816.269338271
TG0406,2806812.852011258
TG0406,2195488.355588159
TG0406,5077506.353669818
TG0406,738142.085108603
TG0406,6917263.69916217
TG0406,3099793.0608679354
TG0407,1974461.1542843163
TG0407,1120172.0538303521
TG0407,389947.9768418409
TG0407,478336.0037720175
TG0407,766103.2471027304
TG0407,618895.7905276053
TG0407,1061674.323689854
TG0407,422702.29127981886
TG0407,886137.3106102969
TG0408,756213.4524774279
TG0408,407058.33347805246
TG0408,1596641.2651386932
TG0408,742845.5044730986
TG0408,1568728.5934946253
TG0408,2516008.5927181165
TG0409,2851563.525948396
TG0409,1091044.0924100406
TG0409,2953092.3477137685
TG0409,2555914.7379518277
TG0409,706108.8510176713
TG0409,1594855.6493379488
TG0409,2521401.85541755
TG0409,3103567.541280187
TG0410,747140.3107721586
TG0410,307562.8513099818
TG0410,2139952.027833779
TG0410,1150531.1195775871
TG0410,321261.86757288163
TG0410,469762.8367761127
TG0410,130334.68854812917
TG0410,248559.76895362273
TG0411,4383662.6740654
TG0411,5079042.180483212
TG0411,2243513.9256347814
TG0411,2252578.7141706124
TG0411,2899668.465471086
TG0411,1433026.0053808694
TG0412,2193690.0524591184
TG0412,760193.2418984805
TG0412,589814.8908329082
TG0412,1489568.1530575617
TG0412,1591648.9031791238
TG0412,1252548.7609789977
TG0412,1327040.0352019581
TG0412,2065796.1392074218
TG0412,245286.3892022226
TG0412,1380810.9595318956
TG0412,457722.2624602374
TG0412,761270.4017582237
TG0513,4242851.866732713
TG0513,1688417.6515282707
TG0513,2410753.305547214
TG0513,780890.0997596745
TG0514,649664.5326939011
TG0514,270560.8457090786
TG0514,1776272.499867421
TG0514,580436.3184998976
TG0514,4175716.4751689164
TG0514,1068823.5913906535
TG0514,1328722.0327317945
TG0514,1019237.2671085814
TG0515,169506.4212392919
TG0515,1125782.7417036605
TG0515,2374344.20091496
TG0515,676680.3462238982
TG0515,442248.28721367364
TG0515,899695.901428522
TG0515,415349.45191270445
TG0515,524491.8768494996
TG0515,590767.0990021946
TG0515,1111637.9065108055
TG0515,857418.1535942524
TG0515,480253.98225643684
TG0515,75571.91078446331
TG0515,786602.761203332
TG0515,1508459.142927543
TG0515,1147975.4885873543
TG0516,830938.8447289264
TG0516,9261829.985708183
TG0516,2361053.1050973316
TG0516,2090122.8122938261
TG0516,572374.1818598129
TG0516,1590752.6684553544
TG0516,1999057.8681612192
TG0516,1990919.9504934868
TG0516,1446896.7008761857
TG0516,2624878.1926113963
TG0516,333320.6679335647
TG0516,1890044.6711696547
TG0516,3799377.900236717
TG0516,477452.73435076536
TG0516,786478.1515023923
TG0516,1243363.7298633053
TG0516,1070291.136913584
TG0517,613695.3833916165
TG0517,710107.9673807777
TG0517,1238555.1389179304
TG0517,236285.80899478696
TG0517,472234.2051656687
TG0517,850541.0600170955
TG0517,1356187.6046239506
TG0517,2922278.565096207
TG0518,402895.97645375127
TG0518,3088887.0474953614
TG0518,2149898.7931752363
TG0518,378181.4178505988
TG0518,1105984.9548202206
TG0518,1014859.6386186038
TG0518,486789.81411469413
TG0519,2520735.9772938034
TG0519,817219.7433949423
TG0519,680220.37514709
TG0519,1567393.0636672233
TG0519,1804705.4717003687
TG0519,2353888.1672499417
TG0519,1605413.728295958
TG0519,1005982.0484024783
