ADM3_PCODE,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
TG010403,67.0,336.0,189.2309146873129,190.2,61.54643988922958,7.343472957611084,94.51408386230469,34.09394059689304,28.684283066128483,19.164704510597222,88,220,145.86069061150735,144.0,28.109267683545525
TG010404,0.0,98.0,54.10681616996166,56.0,21.69288733540894,0.0,58.21833419799805,13.997450826519115,11.13970947265625,13.033053562774654,23,73,43.97946296842726,42.0,11.655785289009248
TG010405,107.0,278.0,195.78511860174774,197.00000000000003,34.70372950533761,13.067353248596191,115.94840240478516,51.49289414392724,48.231529235839844,24.82063043326436,52,203,111.19927590511854,104.0,37.911452211844555
TG010406,0.0,268.0,142.64241965045355,148.5,62.68159508415539,0.0,121.63703918457031,30.51468678708289,25.81544784258103,23.15196817063907,24,229,124.1120893633412,132.0,46.20926038320648
TG010407,0.0,279.0,128.07136298798181,114.66666666666667,68.50320014736978,0.0,91.25104522705078,39.69889836468795,33.74252616117156,24.17299232521961,5,133,53.5031889950976,49.0,30.279775810409458
TG010408,91.0,218.0,154.8928664372669,158.0,28.825021682559072,12.166215896606445,80.34740447998047,38.59424342981727,33.07700729370117,16.87267838036346,33,124,73.03741722811785,70.0,20.29046015834781
TG010409,0.0,149.0,64.17108618052013,58.0,37.105325967776956,0.0,43.691524505615234,13.29934734870803,10.815943826799808,10.491340033204605,0,72,23.01239163691994,19.0,16.637352254790876
TG010410,0.0,183.0,98.00743418638473,101.0,37.31981101475964,0.0,109.85619354248047,32.163566967432914,24.243112564086914,26.16579378363549,0,115,38.803925032957764,36.0,28.75535474404126
TG010501,0.0,218.0,103.93936347913494,98.0,47.14825295353341,0.0,70.05594635009766,26.439211469533355,23.81844814130048,14.736759370214793,12,120,67.32452807875947,68.0,18.443647627465896
TG010502,74.0,340.0,212.65926769114012,218.6,59.87335350443492,9.86078929901123,106.98275756835938,43.07054323250867,37.08054035445533,23.56241314783177,7,119,48.147963700752555,45.0,26.057728369521875
TG010503,0.0,207.0,93.0582801298285,95.0,41.78691077974082,0.0,50.56208801269531,17.74066916690743,17.127277131606675,8.535139749090884,0,105,57.998929985376506,60.0,25.02260602674735
TG010504,37.0,197.0,131.5831636339749,135.0,41.35688488127863,3.771378993988037,50.4857063293457,25.404643413421162,23.661291246491718,9.582239222626526,20,90,49.01507587203574,46.0,16.921227263374416
TG010505,88.0,206.0,149.50718872138467,152.0,28.986055248442877,7.865002155303955,71.75102233886719,34.677824124602346,34.84414828228266,17.14516639530735,2,96,38.65344081518704,35.0,24.947713648731355
TG010506,0.0,165.0,61.00507430228341,49.0,46.207199930787695,0.0,48.04136657714844,8.582538180283374,4.767461776733398,10.367919765788262,0,63,13.604446055334064,7.0,16.18016354391056
TG010507,16.0,353.0,181.6655379322488,172.0,94.31806644429318,1.2289048433303833,92.9260025024414,20.678873242073973,19.215011596679688,15.581840324581531,0,100,18.7372441723442,17.0,16.634863014558142
TG010508,11.0,123.0,61.48863882863339,62.0,25.08973203356129,0.7331281900405884,33.35110092163086,9.717133261932467,8.787782669067383,6.810568152177662,2,47,17.13047722342733,15.0,10.77509704518293
TG010509,57.0,165.0,101.06161317969713,99.0,22.361665448545047,5.288839817047119,54.14787673950195,15.366391190391822,13.668896339156412,8.428340242141424,8,72,30.669126749833346,30.0,14.003031741704497
TG010510,11.0,396.0,131.08297677011095,110.42857142857143,83.21363082161247,0.8556258678436279,181.39012145996094,31.692817790484547,14.504828771847606,43.71992664256603,5,202,51.68985557140282,37.0,46.53451951623857
TG010511,11.0,393.0,174.61636679181132,173.0,91.02852325131549,0.855296790599823,182.6064453125,60.25040209260539,43.857643127441406,54.03881809541181,1,200,66.87318481263726,50.0,57.59678160484044
TG010512,16.0,133.0,78.53136897864593,80.0,28.481660846786443,1.2997218370437622,26.805173873901367,12.615238488983422,11.186436653137207,6.120408087623571,10,48,25.85813607018705,25.0,9.06426651507898
TG020101,81.0,353.0,206.73091274397228,194.0,68.82822965122438,4.5528388023376465,92.9260025024414,31.84212917145185,25.270836184664475,21.29298600091363,15,106,51.24641216991961,49.0,22.985193730495926
TG020102,0.0,157.0,77.69810295425354,80.0,37.63903495172491,0.0,60.5010986328125,18.447774678744018,14.898211479187012,14.377903341721785,10,87,35.14665052860389,30.999999999999996,17.68982549410732
TG020103,26.0,148.0,90.47320897539878,95.0,29.19652453195512,1.480473518371582,57.43724060058594,13.407925327535125,10.35464096069336,11.708363126747305,6,78,24.514409299810765,19.0,17.28655739242705
TG020104,120.0,326.0,218.17420543528334,214.0,47.916128658705006,12.322111129760742,93.20922088623047,37.506332409980395,29.65992709206711,20.530638487610446,25,128,61.704437279287596,56.0,23.44218730608936
TG020105,66.0,194.0,134.15608604407132,137.0,36.69224838566446,3.9383764266967773,87.36681365966797,38.73603817435901,40.33201217651367,20.992154136227953,16,116,61.76915005246588,66.0,26.871997025256928
TG020106,0.0,180.0,86.17483717411757,82.0,39.4547793598447,0.0,99.61981201171875,26.77908198421811,18.217454623937407,22.849686502214478,17,129,57.845808963264986,50.0,26.157516023333066
