ADM3_PCODE,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
TG040202,-0.08071867992458422,0.06120140165356653,0.03497227447890641,0.035548980084738,0.012425453317122437,0.03555283776187848,0.6672001389975083,0.07933403118493,0.07192513064246821,0.0615437463366977
TG040203,-0.300257551616856,0.21382673264348082,0.03626017650530806,0.03713031959730314,0.0224150879561982,-0.09105377618799962,1.6781341903662819,0.09389709427455757,0.07406149746877139,0.09358685714790207
TG040204,-0.12490062752649897,0.17627936943123737,0.03610732516981896,0.03821960747918009,0.020529265930289777,0.010908347133192279,1.3711894594931178,0.12627992919856643,0.08942510701471094,0.12539527223286345
TG040205,-0.047948401359636114,0.14564839445631064,0.036803742074624286,0.036657846643247956,0.015341690982251107,-0.016631424823398924,0.832247257620717,0.09648706925141472,0.0799527388208624,0.07114089323405276
TG040206,0.011168761914762269,0.060207180080137083,0.040539701845006854,0.040446807021619444,0.0057178352259186814,0.05298748908431402,0.43877421962540775,0.09721816669855278,0.08865712683519848,0.039675171804284266
TG040207,-0.3075545781503024,0.5121337957125867,0.03853897436775058,0.03703361309795046,0.03744431274167827,-0.17947223809702942,1.7907108847064679,0.10153447831043848,0.0818881761625865,0.11849859260788766
TG040208,-0.7099372276238033,0.32869297108845785,0.026613114737751287,0.03494421743483351,0.052201189654249545,-0.2184456123809685,4.031646817213013,0.14575907550234016,0.10639388275589325,0.2528243096934987
TG040209,-0.1442999417472276,0.16831207584722765,0.03712761220263869,0.03805778780441694,0.023405894805046495,-0.03417342455248304,0.8551437305175655,0.149129601404702,0.11490319207893619,0.10000513102270514
TG040301,-0.1305476669055809,0.08422823061118834,0.03458500721450812,0.038618552725358385,0.02248297151632809,0.05263980706444099,0.9328689162031791,0.12896837886494503,0.09947062087601675,0.10987634330540376
TG040302,-0.00448780293594436,0.12922411820008642,0.04569009132098073,0.04349544839302709,0.012696658211025422,0.0038160503498234207,0.6053723112813064,0.1095389213159287,0.09570530168586419,0.053140383266509016
TG040303,-0.0013690933812453988,0.12922411820008642,0.040146943092329676,0.04051911098048081,0.008138617377431654,0.054722521627830985,0.6053723112813064,0.1104778384669763,0.10347016277448955,0.04900829956877028
